user,content,like,time
第五棵树,老板点播鸡煲SL一次就说一个笑话，星光哥哥拒绝了，他说：“这样的话一半的时间我都会在说笑话，太浪费时间了”。,377,2024-04-15 07:58:34
故障゙゙゙机器人,二十年后，你的孩子开始接触电脑游戏，就像你小时候父亲带着你玩红警，俄罗斯方块，植物大战僵尸，QQ农场，你也试着带孩子玩空洞骑士，杀戮尖塔这些自己年轻时爱玩的游戏。孩子很喜欢玩这些游戏，你也像以前父亲教你一样教孩子各种技巧，一切都很美好。可惜，就像当初玩红警我只喜欢玩德国，孩子现在只喜欢玩鸡煲，一边玩一边高兴着自己刚通过空洞骑士就能玩到丝之歌了,323,2024-04-05 04:05:31
一只ban,猎人在杂技，战士哥在烧烤，观者在挂火圈，鸡煲在当小丑，大家都有光明的未来,152,2024-04-02 11:21:31
咸某鱼OvO,破案了，昨晚的猎人是鸡煲假扮的，但是鸡煲用来储存连胜的是个1字节的变量，上限只能到255，所以打第256连胜的时候报错死机了🤔,119,2024-04-13 13:22:23
第五棵树,"鸡煲说：“我们不要和别人比，我们要和自己比，只要比从前的自己做得更好就可以了”

猎人：“那你一定比从前的自己做得更好了吧？",52,2024-04-07 06:19:09
龙息刷牙没牙垢,大家别再说什么鸡煲笑话了[大哭]鸡煲能22已经很努力了[大哭],45,2024-04-06 19:35:23
红叶风了丶,"4/11
尖塔相关补充
现已在steam上可以加入愿望单,大伙可以看看，有一些新消息（基本上是奔着全动画去了看起来）
安东尼（尖塔制作人之一）：我们尚未公布全部角色阵容

最后的最后，我第四喜欢的鸡煲~",37,2024-04-11 14:46:24
这周也很好看,fmm真的…无论鸡煲多好的牌都要说烂，合着其它三个职业把把都是爽局呗，一层集中冰球过牌加费少一个都得吐槽一下[微笑],36,2024-04-15 12:55:17
咸某鱼OvO,"在尖塔1中，鸡煲一直承受着他人的嘲讽和鄙视
不过没事，尖塔2里，鸡煲将如亡者般归来",31,2024-04-11 11:56:14
氵登_,上面这个飞的看起来挺像鸡煲的，鸡煲没走，只是来2当小怪了,30,2024-04-11 12:22:39
肉肉得我心,"0405机器人笑话，0406鸡煲暴毙
笑话增加了",30,2024-04-07 07:20:41
刀剑笑-,鸡煲的启动就像鸡煲的启动一样，因为我为人友善，不会侮辱其他任何一个人,30,2024-04-07 02:41:47
当幽灵失灵,鸡煲为什么是小丑，鸡煲到底怎么你们了[草莓猫Taffy_落小珍珠],26,2024-04-02 11:02:42
阿咴咴咴,"day1 鸡煲笑话
day2 鸡煲暴毙
day3 鸡煲每日a0毒种嗯打一小时
这几天节目效果也太足了[笑哭]",23,2024-04-08 03:45:44
AWSXDRFV,"封面解读：
劣人：鸡煲回尖塔吧，战士哥已经用带骨肉贿赂观者了，她答应以后都不打你了。",22,2024-04-02 11:48:57
故障゙゙゙机器人,以后点播的机器人种子建议描述为:爽种，有点爽种，正常种，因为真正的优[热词系列_秀]毒种平常是遇不到的，只会在公共场合随机出现让鸡煲在直播间涨红了脸,18,2024-04-07 03:28:20
龙息刷牙没牙垢,鸡煲暴毙大家能聊好几天，观者409的连胜没加却无人发现。观者人气太低了！加强观者[大哭],15,2024-04-11 09:48:50
real柠檬茶,【【杀戮尖塔】不要带走猛虎！要带就带走鸡煲吧！】 https://www.bilibili.com/video/BV1kF4m1L7gP/?share_source=copy_web&vd_source=8fe989c9dfe70cd361acdb9327925714,15,2024-04-02 12:00:37
daiwey,"2024年4月6日，鸡煲第23局。面对混合双打狗男女，光头直接一回合暴毙，尖塔大战以机器人止于22连胜告终。距今1天，
望周知",12,2024-04-07 18:24:14
Murasameの狗修金,鸡煲暴毙的那局毙有条世界线是能拿到灵体的，二层会好打很多，而且还能抓到一张偏差,7,2024-04-07 08:27:46
第五棵树,请给无家可归的鸡煲一个家,6,2024-04-18 07:20:05
我全都要-,看见点播鸡煲笑话我就想笑😄,4,2024-04-22 12:14:03
bili_48460314616,"那个一球位鸡煲的点播有点像观者姿态啊[脱单doge]
愤怒姿态：回合结束对随机敌人造成9点伤害，离开这一姿态时 对随机敌人造成14点伤害
冷静姿态：回合结束时获得8点格挡，离开这一姿态时，获得11点格挡
暗影姿态：离开这一姿态时，对生命值最低的敌人造成6点伤害，你每在此姿态中停留一回合，都会额外造成12点伤害
天人姿态：回合开始时获得□，离开这一姿态时获得□□
集中：使你的姿态数值增加集中数（天人姿态与暗影姿态的初始值除外）
进入已经处于的姿态也能触发离开姿态的效果
相关卡牌和遗物
球闪/寒流：造成7/6点伤害，进入愤怒/冷静。
递归：立刻离开你所处的姿态，然后重新进入此姿态
暴风雨：进入愤怒姿态x次
冰寒：每有一名敌人 便进入一次平静姿态
混沌+：随机进入2此姿态
符文电容器：你可以同时进入4种姿态（可重复）",4,2024-04-21 13:09:52
姜晓夜,我们鸡煲真是太强了，不准你们黑鸡煲[草莓猫Taffy_草莓拳],2,2024-04-21 12:21:37
我是洛伦磁力,最喜欢鸡煲笑话的一集,2,2024-04-15 05:39:31
灵魂歌姬庞麦郎,封面又黑我第四喜欢的角色，鸡煲怎么你了,2,2024-04-02 12:36:03
七色的少女人形,小丑鸡煲怎么你了,1,2024-04-02 11:09:47
