user,content,like,time
刀剑笑-,"战士出门拿到了燃烧，准备猛冲精英一路向上爬；观者自带暴怒，只用打击就准备打穿一层；猎人没过渡，看了看下面想着能不能回去再打几只大呃虫发育一下。
只有我们的鸡煲动用了万分之一的神力化为气球在协助三人，三人才得以向上爬。而在有人回到塔底之前，鸡煲化身便提前回去，以便继续帮助坚持不懈的爬塔者，这也正是鸡煲灵活地穿梭在尖塔上下的真正原因。鸡神王的心性够战猎观学一辈子了。",167,2024-06-02 11:43:39
___26___,鸡煲52胜惊心动魄！恭喜攻克[给心心],164,2024-06-06 01:13:21
寒月淸歌,鸡煲上辈子四小时半艰难取胜，复盘重生后横扫尖塔，这也是一种重生爽文了,72,2024-06-06 11:02:12
凸图吐兔reckon,等了一天了还没等到4h鸡煲,70,2024-06-06 16:58:47
西瓜味的柠檬汽水,鸡煲是这样的，只需开雷暴开AI开散热开偏差开扩容然后等着挂机就行了，但我们紫人要考虑的东西就很多了,69,2024-06-03 03:07:21
小鸽鸽丶丶,观者是这样的，只需要😡🥶就好了，而我们鸡煲需要考虑的就多了。,57,2024-06-02 11:13:21
随缘散去33,好不容易看到30分钟以内的鸡煲，结果第二天放个大招[笑哭],54,2024-06-06 00:57:54
郝伊丽莎白豆豆,我4个半小时的鸡煲呢，要单发了吗。昨天从七点看到11点直接昏迷，再睁开眼就两点了,35,2024-06-06 10:59:38
布鲁零式,我们鸡煲四小时享受局呢 快端上来吧,34,2024-06-06 12:10:48
失陪了茶,好急啊昨天发生了什么，录播没更新昨天刚好缺勤现场，什么鸡煲国宴什么精彩对局急死我了[大哭],26,2024-06-06 17:01:38
红萌馆の管家,当我看到时长一小时二十分，我还以为鸡煲，结果发现是两局拼一起了,23,2024-06-13 22:43:07
NinjaAqui,0613鸡煲标题笑死,19,2024-06-14 02:22:47
抽卡顺比什么都强,"和平协议：
本人承诺不主动嘲笑鸡煲，希望直播间老板不要点jmj纯音乐
签名：Kakaa",19,2024-06-02 14:32:15
Mayano_tg,我的四小时鸡煲享受局呢,18,2024-06-06 14:31:57
萌新玖玖狸,鸡煲带飞，鸡煲的含金量不多说了,13,2024-06-02 12:48:33
执念丿童话,我缺的鸡煲谁来给我补啊,12,2024-06-06 19:39:39
神净落日的黄昏,伟大的鸡煲燃尽了，但是终究获得了胜利。星光真是大神级的玩家，永远别放弃！[给心心][给心心],11,2024-06-06 14:00:04
傳奇特工朝雲千早,感觉昨天晚上的鸡煲要单发了[doge],10,2024-06-06 10:07:32
不知道发生什么,明天保底鸡煲4小时爽局,9,2024-06-05 22:55:54
白告hao,看了13号的鸡煲，原来你好世界在一层抓位这么高，感觉跟战士哥的愤怒一样，虽然会污染卡组，但最起码保送2层，学到了[打call][打call],8,2024-06-14 01:57:30
是灰子鱼,比起来，观者是这样的，鸡煲只需要调随机数，随便打球就好了，但我们观者要考虑的可就很多了,8,2024-06-08 02:17:45
常生阿诺,鸡煲!,7,2024-06-06 17:12:54
我推の米塔,无数次重开sl的可能性，我们真的能做到！尖塔记录鸡煲单人5h不速通心碎碎心,5,2024-06-07 11:13:40
理工科的绿林,今晚的鸡煲可以载入史册了,5,2024-06-06 00:16:55
凛骞银,"今夜，机马寄！[脱单doge]
鸡煲喜提小灶一个，蓝门[保佑]",0,2024-06-03 23:33:13
1973-太阳总会照常升起,P2鸡煲，最后没有碎心画面是因为心脏发现了鸡煲开挂并举报成功了[doge],0,2024-06-03 11:46:00
