user,content,like,time
爱甜冰茶的克喵,本来想说一个鸡煲笑话，结果发现找不到一个不重复的笑话模板给鸡煲用了,49,2025-01-15 13:37:53
5mROADER,战猎观三人合力艰难突破一个半小时，鸡煲大人一把轻松逼近2.5小时，我们鸡煲真是太有性价比了,37,2025-01-15 13:47:01
復活的鲁鲁修,两小时44分钟致敬传奇鸡煲大王,12,2025-01-11 12:52:51
狂灵,120鸡煲太强了能连打两把（划）,10,2025-01-21 06:05:09
喵叔Mrmiao,这鸡煲，三天一小毒五天一大毒，这就是我们第四强的角色啊（,24,2025-01-14 01:40:17
狂灵,已完成今日鸡煲大学习，开睡[少女乐团派对_感想],8,2025-01-17 06:23:53
狂灵,我们鸡煲能轻松玩到2小时，就问还有其他职业能这么轻松玩到2小时么，真是轻轻又松松啊[少女乐团派对_感想],19,2025-01-15 07:41:18
亚拉尔洛丁,看到昨天就打了五把 还以为早下播了 结果一看是鸡煲 恍然大悟,8,2025-01-11 11:16:38
似非酋的非人类,1月21四职业竞速，鸡煲笑话,7,2025-01-22 14:16:58
天既白_,从十号开始鸡煲开始渡劫，时长最短的是十一号的冷头爪机，仅用时58分钟 ，最长有两把两小时往上的局,5,2025-01-16 02:13:00
月里澄江,突然想到今年尖塔2要出了，那这是不是鸡煲200连胜最后的机会了,4,2025-01-02 04:57:25
TriUmPh113,建议鸡煲游戏时间超过一小时自动判负开始下一角色，不影响其他角色的每日直播时间，鸡煲连胜史诗级削弱（不是,3,2025-01-19 13:18:16
无瞳の殇,一人把一晚上常规时间打完[OK]不愧是鸡煲,2,2025-01-11 09:02:10
WenWenYxj,0114 俩小时鸡煲如约而至,2,2025-01-15 16:08:08
NullRain,鸡煲这一生如履薄冰,2,2025-01-15 12:25:05
Dingirsu,鸡煲最近时长正常,0,2025-01-13 11:39:57
SuperRaymond,再给你一天时间，如果再欺负鸡煲我就明年再看！,0,2024-12-30 11:56:05
天空chi,原来鸡煲是这么过带壳蘑菇的 拿了个防御回来,0,2024-12-30 11:25:17
