user,content,like,time
孟庭苇的收藏夹,"2021年12月11日，鸡煲第107局。面对重击老头，光头使出全身解数仍无济于事，最终投子认负，尖塔大战以机器人止于106连胜告终。距今1天，
望周知",262,2021-12-12 07:47:35
wwx005,因为很早的时候出了重编程，今天下午试了下鸡煲断连胜的毒种，发现是重编程爽种[笑哭]一路上有4-5个全息能拿反复回收重编程，光束射线眼部攻击都是路上掉的，一层掉了个壶铃当场火堆举重，打boss六火可能比观者还快，二层开门就送了个扫荡射线+打群怪，三层清蛇女(不然还挺难打) [吃瓜] 二层后半段出了万物一心的时候基本就乱杀了 我商店还买了个妙计保格挡[喜极而泣],75,2021-12-12 18:47:56
1257643,"最终连胜记录：战逝43
劣宝75
鸡煲106
棺者88",43,2021-12-22 08:12:44
上衫家主,"这盘猎人真是太励志了……前边鸡煲凹发现那里我都觉得有机会过，这盘猎人在遛鸟大爷，那里我感觉真要寄了，一点操作空间没有，没有药水没有遗物改牌序还有个蟹粥哥塞眩晕，硬是让xggg扣了一滴血出来。
强，头子，强！",21,2021-12-17 04:08:48
l陆犯焉识l,机器人，我的超人～现在就看鸡煲能不能找到那条世界线了[tv_doge],16,2021-12-02 00:22:02
一只羟稽,鸡煲我的超人[热词系列_燃起来了],3,2021-12-02 20:04:48
超高校级のluck,鸡煲 尖塔的king！,3,2021-12-02 19:17:29
月岛鸦,复盘就能看出在鸡煲庞大的球池面前重编程就是个fw，而棱镜卡组单挂一个重编程又提升不了太多强度。可以说是很无奈了。,2,2021-12-12 12:05:53
一只羟稽,不，我的鸡煲，刚来了个环就倒下了,2,2021-12-12 00:56:18
浪丶阿狗,鸡煲全村的希望！,1,2021-12-02 09:44:25
堀慎吾保护协会,封面是啥？鸡煲被众星捧月？全村的希望？,1,2021-12-02 00:25:20
Quinbk,鸡煲那一集在哪啊，怎么就93了,0,2021-12-02 19:22:49
