user,content,like,time
孩子们我25年还没打赢,连一刻都没有为鸡煲的死亡哀悼，尖塔一姐观者，极速奔向险境,89,2023-09-23 07:33:39
怪鱼大葱,"昨天自己玩的时候
鸡煲鏖战九十分钟尽显从容
观者三十分钟速通难掩疲态",52,2023-09-05 00:42:19
RaDi_,2023.9.22，xggg面对稳赢的心脏局分心忘记鸡煲护甲被连段斩杀后毫不犹豫的开始了下一局观者，警钟长鸣。,43,2023-09-22 21:00:06
刀剑笑-,鸡煲的死永远是这么戏剧性[大笑],21,2023-09-23 09:00:01
小毛怪呀,106胜鸡煲被战士哥杀害于9.19 晚8：57 望周知,21,2023-09-19 20:58:45
不笑猫的硬币,鸡煲月初归零，现在再次归零令人感慨,16,2023-09-22 23:48:48
我是洛伦磁力,鸡煲：悠悠苍天，何薄于我,12,2023-09-23 02:36:38
攮廿糗酴擀,我是0916乱战鸡煲的点播人[笑哭] 不知道光头晚上会打我的种，吃火锅去了就没看  开局选乱战拿腐朽走的右线，路上运气好掉了AI，血量也稳定就直接冲带火小红了，拿到了全局为数不多的冰球寒流，第二个精英三柱神拿到了射爆，打史莱姆轻松很多（指sl半小时），一层boss遗物红绿灯，没拿。神在二层第一个商店，然后就是敲神一直用AI鸟面苟命过了三层，本来以为稳了结果圆顶忘记算易伤被老头一刀68秒杀[捂眼] 就想着看看光头有没有更好更稳定的打法,12,2023-09-17 10:48:15
春风归无期,这下鸡煲成搞笑角色了,11,2023-09-23 23:37:37
Skandalis,9月22日鸡煲暴毙的情节就跟奥尔加团长扑街差不多，建议直接放希望之花,10,2023-09-23 14:55:35
吼姆啦です,鸡煲被黑幕了,6,2023-09-23 22:43:28
Dingirsu,鸡煲含恨,5,2023-09-23 07:29:53
优秀_6,鸡煲：黑幕！有黑幕！,4,2023-09-23 13:17:43
早起吃毛怪,可怜的鸡煲啊[tv_流泪],4,2023-09-23 01:44:41
GOGO贾一乐,嘻嘻嘻 战士哥明天就要把鸡煲踩在脚下口牙,4,2023-09-18 11:05:25
LerU丶,封面太好笑了，鸡煲加大班[doge],4,2023-09-03 11:04:56
我是洛伦磁力,红裤衩已经104了，马上就要超过鸡煲了（喜）,2,2023-09-16 13:58:00
殆已-_-,今日起兵，杀上尖塔，夺了鸡煲这厮鸟位,1,2023-09-17 09:05:40
