user,content,like,time
粉色的菠萝,4月18日鸡煲爽局，弹幕评论：谁还债都不可能紫人还，4月19日，观者薨，予记之。,179,2023-04-20 03:45:19
想打无伤的摆年积木,kakaa史官们行动起来，就在今天，鸡煲因为极差的运气和排序，三层只有两张强化卡，最终含恨陨落在四层，刚有起色的六连胜再度宣告终结，这是鸡煲对106连胜最逆反的一集，我作为乳机派首当其冲敢来嘲笑：鸡煲不行,92,2023-04-02 19:31:57
想打无伤的摆年积木,kakaa史官们行动起来，就在今天，鸡煲因为极差的运气和牌序，发牌情况我忘了（在睡觉），最终含恨陨落在四层，刚有起色的七连胜再度宣告终结，这是鸡煲对106连胜最逆反的一集，我作为乳机派首当其冲敢来嘲笑：鸡煲不行,83,2023-04-09 21:57:38
恋芙兰结婚,200连的观者的到现在还没有评论（虽然我明白大伙肯定都在蹲单发）但是鸡煲每寄一次就会有正义史官，我宣布鸡煲已经赢了[傲娇],62,2023-04-13 09:26:52
恋芙兰结婚,战士哥倒在了76连胜，鸡煲倒在了106连胜，观姐倒在了206连胜，结合鸡煲有段时间的头七轮回，什么世界线的收束（,55,2023-04-19 23:07:07
恋芙兰结婚,猎宝在不小心迷路以后继续爬塔打到了百连胜，虽然说百连聚会就差战士哥一个，但是他也在之前的连胜里突破了自己的记录，只有我们可怜的鸡煲今年被发牌员各种背刺屡屡过头七。所以我有一计，把战士哥的76连胜记到鸡煲名下（反正没到百连），这样看着就能更早的突破自己的记录（,46,2023-04-10 13:18:31
账号已注销,绷，鸡煲苦战局后面接的是薄纱观和薄纱战,11,2023-04-18 05:54:07
我是洛伦磁力,鸡煲又寄了（喜）,7,2023-04-10 12:35:59
方别筠别摸鱼了,星光的鸡煲已经开始那绿帽和金冠了……他真的,4,2023-04-10 23:42:32
Naenia,鸡煲励志局太不容易了,2,2023-04-18 03:05:35
顾青山多妩媚,大半年了，一直以为是听着孟苇庭看着鸡煲战士哥入眠的，现在仔细一看发才现看反了,1,2023-04-21 00:17:09
我是洛伦磁力,"低情商：鸡煲寄了
高情商：好耶，鸡煲有从零系列看咯！",1,2023-04-04 13:48:05
咩咩叫的棉羊,鸡煲七连是个坎啊,0,2023-04-18 08:40:55
