user,content,like,time
地球ol村民,一刻也没有为鸡煲的倒下而停留，接下来赶到战场的是——观者！然后观者也寄了，完美贴合咒术了,199,2023-10-08 22:47:10
咸某鱼OvO,"封面解读
战士猎人为连胜第一争斗不休
观者两百连胜笑而不语
你说鸡煲？鸡煲早就升天了",96,2023-10-02 11:41:33
析木未,指路，1023表演赛鸡煲1 15：35薯条被偷家(･∀･),21,2023-10-24 12:48:23
龙息刷牙没牙垢,一刻也没有为鸡煲的倒下而停留，接下来赶到战场的是——鸡煲！,15,2023-10-08 21:15:37
豆腐公爵大苹果,表演赛鸡煲1那场惊现薯条，好好笑,14,2023-10-24 08:05:08
孩子们我25年还没打赢,战士哥拿鸡煲和观者当做祭品向emo换取了力量，惩罚很快就会接踵而至!,9,2023-10-10 18:21:45
月明前的星,鸡煲又死了，太没人性了（无慈悲）[Cat_study],8,2023-10-04 15:18:11
想打无伤的摆年积木,寄宝都死亡一天了，评论区还没有正义史官和警钟，咔咔们已经不会为鸡煲的死亡敲警钟和写小作文力（喜）,6,2023-10-29 09:49:29
钟祏舜,一刻也没有为鸡煲的倒下而停留，接下来赶到战场的是——观者！,5,2023-10-08 21:42:12
Ramona-Loop,刚看两分钟直播，鸡煲怎么又寄了,2,2023-10-04 15:09:41
龙息刷牙没牙垢,封面暗示鸡煲只能成为垫脚石，战士哥也只能堪堪与猎豹相平。你问观？那自然是独断万古，力压众人[doge],1,2023-10-02 12:10:37
战斗型文艺面具,鸡煲：输了可不好玩，所以我从来不会输！,0,2023-10-02 10:48:17
