user,content,like,time
SUIS__,四个职业毒种里时长最多的一个，这就是我们的鸡煲啊,187,2024-02-11 11:10:42
志摩凛的狗,剩下三天的视频能不能都做鸡煲的啊，不为别的，就为能看得更久一点[星星眼],42,2024-02-11 11:46:46
嘤语太难了,最喜欢的汗流浃背和第四喜欢的鸡煲[星星眼],31,2024-02-11 11:01:12
canzhou999,其实裸了重编程是完全可以拿电动力的，大家还是不要被流派化思维限制，电动力作为过渡能力前2的顶级金卡，是可以让二层偏物理的机器人打的更舒服的，偏差同理，这俩卡算是鸡煲大爹二爹了,17,2024-02-12 02:04:58
别熬夜了夜猫子,鸡煲汗流浃背岂不是会短路[脱单doge],15,2024-02-11 11:02:47
midcheck,终于到了我第四喜欢的鸡煲了[星星眼],2,2024-02-11 11:12:11
猫头刺客,就好鸡煲这口,0,2024-06-28 23:15:14
宇智波佐助フ,为什么管机器人叫鸡煲,0,2024-02-11 14:38:00
PauloiL,时长合格[doge]，不愧是鸡煲,0,2024-02-11 11:30:08
秋雨梧桐摇落叶,是鸡煲，好耶[星星眼],0,2024-02-11 11:01:45
