user,content,like,time
Clover丶苜蓿,水友的鸡煲在冲百连，光头的鸡煲在学习二进制[傲娇],387,2024-03-16 11:03:51
辉辉一时兴起,原来大家玩鸡煲都这样啊[doge],238,2024-03-16 11:16:17
五星评论家Mac阿瑟,嗨嗨嗨来了奥，上次那个歪猎人爽种的也是在下，不是白连哈哈哈是百胜，鸡煲还是太困难了现在胜率不足4成[妙啊],53,2024-03-16 13:37:41
暴食海獭yanamianna,这就是我们的鸡煲呀，真是🐔🐔又🍔🍔啊，你们有没有这样的鸡煲呀,10,2024-03-16 11:42:19
Term1nal,果然只有鸡煲的时长是正确的,5,2024-03-16 11:10:19
长行轻箫,看这集同时开了局观  观批爽完了鸡煲还在凹老头[秦国小卖部_理解],3,2024-03-16 12:52:23
依沐攸,每次自己玩鸡煲打到三层boss和四层就不想玩了[大笑],1,2024-03-16 14:35:11
陈三石123,十七分钟开始打弟勇，一共1h11min[doge]，这就是鸡煲[打call],1,2024-03-16 12:39:45
月惊舞离,不愧是鸡煲，很符合我对鸡煲毒种时长的想象,1,2024-03-16 11:20:44
金好喵,机器人一直火堆睡觉[微笑][微笑]剛进阶二鸡煲瑟瑟发抖,0,2024-03-20 09:22:32
xibenbx,鸡煲日常[UP_14064034_zzZ][UP_14064034_zzZ],0,2024-03-16 13:08:15
狗圈绿帽金冠,无内鬼，来点鸡煲笑话[摸鱼新春会表情包_河里],0,2024-03-16 13:01:09
TriUmPh113,打三层boss+四层用了近半时间，不愧是鸡煲。,0,2024-03-16 12:25:21
时间行走,鸡煲+圆顶 真的很难顶,0,2024-03-16 12:19:54
郝伊丽莎白豆豆,不愧是鸡煲,0,2024-03-16 11:25:05
逐月居士,我们鸡煲傲人的时长[doge],0,2024-03-16 11:18:30
迅速抱团,这就是鸡煲的毒种啊，你们观批有没有这样的毒种啊,0,2024-03-16 11:06:17
EmjX59,时长太对了鸡煲,0,2024-03-16 11:01:36
