user,content,like,time
我是洛伦磁力,大家已经不在意鸡煲为什么死了，仿佛鸡煲死掉是很平常的事情,76,2023-11-12 10:45:30
桪下花,"鸡煲是爬塔的带破损核心唯一的人。他机体很坚硬，脸上间时常夹些伤痕；穿的虽然是铁皮，可是又脏又破，似乎十多年没有修，也没有洗。他对人说话，总是集中球位高上限，教人半懂不懂的。因为他姓机，别人便从描红纸上的“鸡煲人上人”这半懂不懂的话里，替他取下一个绰号，叫作鸡煲。机器人一到店，所有爬塔的人便都看着他笑，有的叫道，“鸡煲，你连胜又断了！”他不回答，对老板说，“删个打击，要一个数据磁盘”便排出二百金币。他们又故意的高声嚷道，“你一定又偷了尸体的古钱币了！”鸡煲打出眼部攻击说，“你怎么这样凭空污人清白……”“什么清白?我前天亲眼见你偷了尸体的遗物,被猛男吊着打。”
鸡煲使用了“急躁”，争辩道：“启动慢不能怪我……能力多的事，能怪我吗”接连便是难懂的话，什么“快速检索”，什么“干手”之类，引得众人都哄笑起来：店内外充满了快活的空气。",42,2023-11-20 18:22:51
故障゙゙゙机器人,战士有费就行，猎人有牌就行，观者有手就行，鸡煲全有也不行,14,2023-11-22 01:58:07
canzhou999," 1103棱镜树枝鸡煲  1:63:14  
熔化魅力时刻之1费打109",12,2023-11-09 19:12:34
我是洛伦磁力,鸡煲又死了（内心无波动）,8,2023-11-21 06:06:46
流沙成空,前面忘了，中间忘了，总之鸡煲的灵堂里又充满了欢声笑语[脱单doge],3,2023-10-29 11:13:38
好奇种子,p183 30:00 生吃面团诅咒鸡煲,1,2023-11-20 19:35:02
canzhou999, 还是1116的鸡煲，我感觉星系仪里那张硬化还是得拿，xg考虑是会把冰激凌的费用完，但实际上小卡组有内核，挂3白球的情况下应该完全不缺费的，就打老头的30+战损，如果有硬化，应该是可以无伤拿下的，高敏捷情况下硬化一轮随便开应该都能防住老头的多段,1,2023-11-18 04:18:39
不笑猫的硬币,鸡煲真的是暴毙最多的角色了，有时候看着106连胜真的感觉不可思议,0,2023-11-22 15:05:24
我是洛伦磁力,完美转黑化转腐枝？匀点运气给鸡煲吧,0,2023-11-18 08:35:36
一个颜艺公主,我的鸡煲又死了[大哭][大哭],0,2023-11-12 03:53:10
