user,content,like,time
酱油ao,"毒种观：34min
爽种机：40+min
加上鸡煲连连暴毙，令人忍俊不禁（",161,2024-01-31 03:10:39
故障゙゙゙机器人,玩鸡煲越来越感觉火堆没事干了，就像看着自己乱糟糟的房间完全不想整理,97,2024-01-29 01:33:33
龙息刷牙没牙垢,从另一个方面来说，鸡煲是备战二月连胜最早的角色……,77,2024-01-30 21:33:05
深夜饱腹,封面战士鸽和鸡煲是入土为安了吗[笑哭],66,2024-01-27 11:03:13
大葛格-,很标准的鸡煲头种：前5选唯一球牌暴风雨，物理输出光束扫荡超光，强怪池才掉药还是个扩容药，商店三瓶药也没用，第二个问号出强怪开门19，最后滴血不差被小偷俘虏[doge],26,2024-01-31 13:27:00
星野梦美い,一刻都没有为鸡煲归零感到悲伤，即将赶到战场的是观者！,16,2024-01-30 20:40:51
魏索难,刚玩了一把鸡煲双冷头电击无限了，结果没看表被老头一下重击秒了[大哭]，连sl都没来得及，气的我开了一把观者通晓诸神一路秒到老头狠狠复仇,11,2024-01-27 18:30:21
第五棵树,预言一下，这个月鸡煲数不到10,10,2024-01-30 20:32:15
柚子醋w,昨晚鸡煲日常局 蝴蝶结老板一个sc引发了后面十几条故事会接龙sc哈哈哈哈,8,2024-02-08 14:07:44
咩咩叫的棉羊,鸡煲———,4,2024-01-31 09:33:00
canzhou999,鸡煲因为沉迷尖塔导致排名从1掉到2,3,2024-02-02 04:05:36
嬉皮笑脸咯,片哥就是鸡煲！,2,2024-02-05 21:16:48
第五棵树,"提前警钟长鸣，为鸡煲默哀。
和我一起说，阿门🙏。",2,2024-01-27 17:18:01
秋心ya,封面好好笑，鸡煲又归零了。,1,2024-01-28 12:18:16
canzhou999,125第一把obc打小饼干的鸡煲红面具那里如果是吧主就交钱了，交钱就过三鸟然后稳稳拿下了,1,2024-01-28 02:30:28
我--鲁迅曾经说过,鸡煲我的鸡煲[大哭],0,2024-01-30 20:44:00
尘封笔记,鸡煲现在要ROLL出门祝福才能玩了吗？,0,2024-01-28 14:09:10
烁玛,战士鸽为了鸡煲不再孤独，自断连胜来陪他,0,2024-01-27 11:04:46
