user,content,like,time
ustc最棒的玩具推销员,看四职业竞速，看到鸡煲只有17分钟，快进到结尾，果然是中途四了,71,2024-08-05 13:09:38
星野岚川,"自从8月6日祝福破哥后，观者、鸡煲、猎宝相继暴毙，战士鸽再努努力，就成为最黑暗的八月了[doge]
顺带一提，自从打连胜以来最黑暗的日子是去年6月7日，四职业连胜分别是5、0、10、9，加起来还不到30[妙啊] 不过那会儿打法没有现在成熟，甚至战士还没破百，没有现在有“含黑量”",45,2024-08-18 08:12:17
某猹QAQ,想必鸡煲使用了冻结核心才可以将战士哥浮在水面罢（,37,2024-08-02 11:02:39
琉璃猫QAQ,鸡煲寄了F某又破防了？,36,2024-08-08 12:53:07
midcheck,邪恶的战士哥，为了自己的连胜献祭了猎宝鸡煲和观宝[Mygo表情包_生气],32,2024-08-18 12:48:43
恋芙兰结婚,唉，唉唉，别带圆顶节奏啊，6的走这条路鸡煲的爬塔之旅一定会越来越好的[幻想乡的日常 第1弹_给心],32,2024-08-08 12:33:04
Luvsou1,xxgg猎人耗尽天机搜寻世界线战胜心脏，换来的是面对观者的无能为力和鸡煲的可惜,20,2024-08-08 08:53:28
彼处-水如酒,我就说鸡煲竞速怎么17min[笑哭],20,2024-08-04 19:58:47
我是伊凡的猫,鸡煲又沦为倒数第一了（悲）,19,2024-08-08 11:34:27
丛雨幼刀,战士＞猎人＋鸡煲＋观者,18,2024-08-10 11:04:13
有罪就完事了,悲报，鸡煲于今日归零,18,2024-08-07 21:47:20
霜雪清枫,昨晚超级加班，这个鸡煲毒种是真毒啊,13,2024-08-18 08:56:10
丛雨幼刀,战士＞猎人*鸡煲*观者,13,2024-08-17 22:33:16
daiwey,我宣布猎宝平均时长已经超越鸡煲,11,2024-08-05 20:11:49
lyoshiki666,鸡煲关机，有谁又破防了呢，我不多说,10,2024-08-09 01:12:16
竹取Mochi,一天没看鸡煲就似了[超天酱表情包_嘤嘤],6,2024-08-08 09:17:16
爱睡懒觉の风语,以后连胜碰到这种失误暴毙的是不是可以用MOD复刻当时情况继续凹？这次鸡煲已经快找到胜利世界线了结果手慢死了，作为单纯的观众来说实在挺可惜的，而且MOD复刻完把MOD关了应该不会影响后续世界线吧？毕竟单机卡牌游戏还是更注重策略一些，况且其他不至于死的操作失误（比如手滑丢药）也会sl，那我觉得通过不影响后续发展的方式规避致死的操作失误也未尝不可,5,2024-08-08 14:15:12
艾叶叶,鸡煲罪大恶极[傲娇],3,2024-08-18 11:50:37
Dingirsu,鸡煲感觉比战士哥还缺过牌,0,2024-08-08 12:14:25
