user,content,like,time
恋芙兰结婚,"红裤衩和蓝鸡煲双双把家还，我的雷霆战机好兄弟组合啊[tv_大哭]
鸡煲这死的也太壮烈了，有的鸡煲夹子姐那里就要趋势了，愣是挺到了四层，添水出好药，太痛苦了[tv_大哭][tv_大哭][tv_大哭]",28,2023-12-26 23:55:42
橡木匣-,尖塔最黑暗的一天[大哭]战士鸽和鸡煲双双趋势[大哭],12,2023-12-26 23:43:08
竟然是只傻狍子,战士鸽和鸡煲同时归零，又是一局跨越无数时间线的鸡煲暴毙局,9,2023-12-27 07:42:47
不如吃茶z,鸡煲还是那么与众不同,7,2023-12-25 11:05:19
科里奥地利,"最苦难的一晚
不！战士哥！不！鸡煲！",5,2023-12-26 23:44:48
Murasameの狗修金,打了一下鸡煲头种被收藏家斩于马下[保卫萝卜_哭哭]不过二层发现有灵体事件，有没有高手过心脏的,4,2023-12-27 13:38:18
早起吃毛怪,"不！战士鸽[大哭]
不！鸡煲[初音未来_大笑]（）",3,2023-12-27 03:25:58
KiejlA9Armistice,我滴鸡煲😭,0,2023-12-27 14:36:57
非常坑的小帅比,昨天看到鸡煲sl夹子姐就睡了，没想到过了，可惜还是归0了，夹子姐你罪大恶极😡,0,2023-12-27 08:30:47
canzhou999,1223磁力鸡煲还是靠发现，第一个发现出耗尽叠，第二个发现出扩容，然后就是结茧,0,2023-12-26 14:11:36
