user,content,like,time
CnCroneko,"鸡煲：
原来真的……做到了吗？
尖塔沉睡了，那么，我也……
该睡了[哭泣]",394,2021-12-03 17:39:34
迷失十字街,"鸡煲功成名就，从台阶上阔步下来。没有感情地踢了踢拉胯在地上的红裤衩——但摆烂的战士哥只是翻了个身以便躺得更舒服一些。他发现了躲在角落阴影里的猎人，她正在抚拭身上的伤口。绿人是四人当中最敏捷迅速的，但再快的速度也逃不过带壳三萝莉蛇花的凛冽进攻，这也使得她原本大开大合的动作逐日变得畏首畏尾。
机宝来到底部，看见紫人正在涅奥面前冥想。她虽然失去了双目，但她却得以看见更广大的事物。也许心脏倒下的那一刻她就感知到了，但她只是静静地端坐着，没有祝贺也没有激动，那柄长杖上原先四处搜寻的吓人“眼睛”今天却低垂着。等到机宝走到她的面前，告诉她该她上场了，她才优雅地站起来，行了一个礼之后默默走向了涅奥。
啊，这位曾经骄傲的女神！在她到来之后就如天神下凡般压迫众生，红蓝绿难兄难弟就像是陪衬。三人的步步为营局局谨慎，在她高歌猛进的强大之下显得相形见绌……
但那都是过去式了，谁也没想到一把小小的铲子就能将神明拉下神位。自己虽然连肉身都没有，心灵也只是0和1的无限交织。每一次行动也不过是执行死板固定的段程序，还因为自己的损坏，偶尔会有一个短短的句段出现不可控的随机变化——这虽然使他成为了一个“次品”，却带来了无限的可能！
即使是面对心脏这次空前绝后的阴谋：从第一层就开始严密施行的陷害、爪牙们残虐至极的丧病攻击、甚至还有被收买了的商店老板！它成功了！现在它已经证明了自己，它仍将继续稳固地前进下去……",242,2021-12-04 00:28:29
是黄茶啊,鸡煲就是隔壁联盟的机制怪，只要数值在线，足量的随机数以及大量的SL就可以应对90%的问题，而且这个强度会随着玩家的熟练度同步上升。虽然我成天说乳机乳机，但是鸡煲的设计理念非常符合一个肉鸽游戏的模式，但是大部分非专精玩家都会觉得很屎。PS：附带一个机器人笑话   如何看待机器人强度  高情商：鸡煲有无限可能    低情商：这也能过，数值平衡师干什么吃的[Cat2_Boom!],180,2021-12-03 22:32:51
kharhalle,"鸡煲太难了
告诉我现在谁才是尖塔的神",14,2021-12-03 17:27:52
呆毛雷希拉姆,"完了，猎宝香槟开早了[大哭]鸡煲重回尖塔一哥
（真的佩服光头的耐心，太强了）",8,2021-12-03 17:40:25
萝卜小蔡,整个尖塔都想要鸡煲死，但鸡煲顶住了压力。鸡煲，尖塔之光！[打call],5,2021-12-03 18:10:38
西木杨,最近鸡煲有创造了神话，回来回顾下,3,2024-06-20 02:49:48
鹿里猫,头，凹鸡煲了吗[神乐七奈_疑惑],2,2021-12-03 17:27:51
浪丶阿狗,鸡煲！！！我的超人！！,1,2021-12-03 17:53:15
矿山泥头车,鸡煲!,1,2021-12-03 17:27:10
狮子喵-雷恩嘎尔,好！鸡煲随机数之神！,0,2021-12-03 19:08:47
蜉蝣小羽,鸡煲yyds~,0,2021-12-03 19:05:27
LACUP1,光头NB！参与的兄弟们NB！只能说这得亏是鸡煲了，别的角色真的做不到了,0,2021-12-03 19:00:00
人民艺术家叶圣,结论：只要有发现，鸡煲能连胜1000把,0,2021-12-03 18:55:32
鼠光人,鸡煲yyds,0,2021-12-03 17:32:48
天子厨_,我们鸡煲总能创造奇迹,0,2024-07-17 14:30:35
