user,content,like,time
无言の6,"鸡煲进阶20左右，而且碎心轻松无比。有一天早晨他穿戴好遗物，照着镜子，对战士哥说:“我与隔壁的观者相比，谁更强大呢?”战士哥说:“您强大极了， 观者怎么能比得上您呢? ""观者是这一代的最强的角色。鸡煲不相信自己比观者强大，于是又问猎宝说:“我和观者相比，谁更强大?”猎宝说:“观者怎么能比 得上您呢? ""第二天，有小红从外面来求见，鸡煲和他坐着谈话，问那个小红道:“我和紫皮人相比，谁更强大?”小红说:“紫皮人不如您强大啊。""又过了一天，观者前来拜访，鸡煲仔细地端详他，自己觉得不如她强大;看着自己的卡牌和遗物，更是觉得自己与观者相差甚远。傍晚，他躺在床上休息时想这件事，说:“铁甲战士认为我强大，是因为我有重编程;静默猎手认为我强大，是因为我一层乱杀;塔里的小红赞美我强大，是因为我打他的时候开了偏差认知。”于是鸡煲上朝拜见策划，说:“我确实知道自己不如观者强大。可是我开了偏差认知，所以他们都认为我比观者强大。如今尖塔有数不清的玩家，无数种流派。碎心的观者及暴毙的战猎，没有一个不偏爱策划的，塔里 的怪物没有一个不惧怕策划的，尖塔中的角色，没有不对策划有所求的:由此看来，策划您受到的蒙蔽太严重了!”策划说:“说得真好。”于是尖塔2里鸡煲去世了。",300,2024-04-24 16:36:30
辉辉一时兴起,扩容耗尽挖掘冰川，这已经接近我们鸡煲的爽种的范畴了[打call],194,2024-04-24 11:57:20
一个颜艺公主,鸡煲50min以下的全是爽种[doge],59,2024-04-24 11:05:49
金好喵,鸡煲爽爽种子，才46min,43,2024-04-24 11:02:36
creeper啦,投稿人是不是没敢一层冲精英啊，我感觉鸡煲一层战斗力不差是敢冲精英的，虽然会怕小红，但做好针对措施还是可以打的,26,2024-04-24 11:35:18
太湖白1231,看鸡煲爽局看困了,1,2024-07-20 00:19:25
是小星儿吖,"鸡煲毒种❌
一层四精英46分爽种[doge]（这就是xggg的歪种能力）",0,2024-04-24 12:12:15
白林Tiok,鸡煲一层数值还是好啊,0,2024-04-24 11:53:51
从未幸运的悠哉,角色正确，时长错误，鉴定为鸡煲䗮种,0,2024-04-24 11:44:17
Term1nal,46分钟肯定鸡煲爽种啊[doge],0,2024-04-24 11:33:54
