user,content,like,time
Morningstar_12,唉，鸡煲,18,2024-09-03 21:32:49
柚子醋w,昨晚第一局鸡煲 破哥于7点时隔两年 再次说出传世经典“7点了还能电钻吗”,45,2024-09-28 09:56:20
daiwey,"桀桀桀战士你是最强的了
桀桀桀鸡煲你是最弱的了
桀桀桀猎人你是最强的了
桀桀桀观者你是最强的了",35,2024-09-16 05:03:54
故里丷听訞,开门就是机没录，这何尝不是一种鸡煲笑话[保卫萝卜_哇],12,2024-09-03 05:04:11
纸鸢教主,菜鸡的理解回去试了一下，鸡煲没玩很多只知道一层战斗力强就走左边的商店精英火堆精英，打完史莱姆这卡组歪的麻麻都不认识了，我觉得让xg抓的是我手里的牌走右线应该能过，后续没时间就不打了,6,2024-09-04 14:42:47
星野岚川,"P176 0927 抽象双持战的50:10，破哥：“猎人是卡组越大压力越大，战士是卡组越怪压力越大”
那么鸡煲是[doge]",5,2024-09-30 09:19:17
嬉皮笑脸咯,"38分钟nosl鸡煲,这就是我们尖塔第一的实力啊!!!",5,2024-09-25 23:18:47
秋霜xyy,"以前有过4职业接力点播来着，那次鸡煲最后一个，开局能力相关遗物齐全，结果1层快结束了只有一张白噪声。
这次直接不能最后一个了[吃瓜]",6,2024-09-08 18:57:19
gorgeoomy,鸡煲笑话加一：机没录,3,2024-09-03 07:48:46
mur的另一边,中和是三职业初始卡组最强卡了吧，给战士鸡煲都是好牌,2,2024-09-03 22:40:40
纸鸢教主,看了一下昨天的鸡煲种，这牌未来满满即使菜如我来玩二层也能立马确认左线零精英跑路比较优了，没想到xg走的右线暴毙，感觉要走右线的话得拿小屋子里的内核,4,2024-09-04 09:13:30
茶糕orz,观者爽局20分钟，战士猎人一般30分钟，而鸡煲40分钟已经算爽种了（微笑,1,2024-09-25 21:19:31
非要取名干啥,封面第三个为啥是鸡煲啊？黄色的破损核心吗？[2233娘_困惑],1,2024-09-03 06:55:53
两泉沈梦溪,9.27的鸡煲,0,2024-10-01 01:00:04
崭新的平底锅,前天直播只有鸡煲的没看，可惜只有那一局没录，还想看看最后怎么凹过心脏的,0,2024-09-03 07:50:53
