user,content,like,time
咸某鱼OvO,"回响的回字有四种写法
鸡煲的启动也有四种办法
梦里的散热启动
顺境的冰球启动
平时的血量启动
打不过观者启动
（没有编过鸡煲笑话的人生是不完整的[脱单doge]）",132,2024-05-08 23:03:55
红萌馆の管家,封面是鸡煲制作流水线么？[doge]三人合力才能供应的起爬塔的鸡煲数量,91,2024-05-02 10:02:56
我在非洲的前期,我去，我和鸡煲的羁绊！,20,2024-05-02 10:47:28
AWSXDRFV,"鸡煲VS观者
第一回合：
鸡煲 ？？？（将给自己施加强大的buff）
观者 镰刀42×6（下一回合死亡）",14,2024-05-13 04:28:24
莫狄乌丝,鸡煲遇到这三个强盗，正在要钱和要命之间抉择，突然间三个强盗暴毙，鸡煲不解，定睛一看竟是心脏救了他！鸡煲更加不解，心脏解释道：“你和那三个人不一样，只有你，才不会伤害我”,10,2024-05-04 23:14:23
咩咩叫的棉羊,"观者起灵，使鸡煲过渡攻击牌独步尖塔，球闪之名响彻一层！然后命令众神召唤雷霆打击和陨石轰击鸡煲的敌人！
战士塑形，为鸡煲注入自己的鲜血，带来了修车和静电！战士看着鸡煲无惧疼痛的具体，把烧牌赐予鸡煲
猎人铸魂，她举起本能，于是有了快捡、搜寻、重启，又举起战术，于是有了内核、汇集，最后叠放召唤超能光束

如此可怕的鸡煲，还有谁能抵挡！！！",8,2024-05-02 10:17:27
古明地三鲜Pro,0504五偏差鸡煲最后打爪机无限，太抽象了[笑哭],6,2024-05-06 04:24:11
第五棵树,收留流浪鸡煲,6,2024-05-02 12:01:42
我是W君0v0,不会鸡煲真的去不了尖塔2吧？那可真是太好了😋,6,2024-05-02 10:43:02
巨眼独人,515树枝会员卡毒种机，有咔咔问为什么数值会员卡不点战士，因为我知道，只有鸡煲这个种子会是毒种[doge],4,2024-05-17 22:31:01
某位普通上班族,#鸡煲指示苟男女gank观者,4,2024-05-09 13:18:13
龙息刷牙没牙垢,现在距离鸡煲最强只差一步了哦@,3,2024-05-13 21:20:57
寒翎w,封面量产鸡煲😨,1,2024-05-02 11:31:40
故障゙゙゙机器人,战士一层狂宴，观者一层勤学，鸡煲一层电动力学，猎宝一层尸爆，或者一层神话，一层xbx，这几个哪个最强[UP_14064034_问号],0,2024-05-22 03:22:20
