user,content,like,time
龙息刷牙没牙垢,"绿：中和，给我虚弱！ 红：硬撑，给我防住！ 紫：粉碎关节，易伤等我输出！
蓝：弱小、太弱小了！难道所谓绿红蓝就只有这点数值吗？难负盛名！既然如此，那就让你们见识一下何谓纯粹的数值、极致的强大吧—我tm射爆！
绿红紫：对不起，没能让鸡煲大人使出全力……",132,2024-12-02 11:14:53
57007809471_bili,34=4+20+10，其他三职业数值加起来才勉强能和我鸡煲大人相提并论[doge],85,2024-12-02 12:10:28
狂灵,前有战士鸽14min速通+16灼爽种，后有鸡煲14min速通灵体爽种，这就是我们尖塔好蓝人[少女乐团派对_感想],63,2024-12-05 05:09:52
Light丶L,"尖塔里谁最强啊？
“肯定是观者啊，攻哈全场”
“给猎人也可以，运转无敌”
“那必须是战士啊，烧牌机制强的一笔啊”
“卧槽，鸡煲是谁？”",57,2024-12-13 20:51:39
龙息刷牙没牙垢,"1220拼尽全力无法战胜3小时纯享折磨版鸡煲。
但是从另一个角度来说，这也弥补上次走错路断连胜的遗憾了吧。",45,2024-12-21 05:21:16
异域の龙,怪不得尖塔2没看到鸡煲，原来是去领奖去了[给心心],44,2024-12-14 00:52:39
喵帕斯的忠犬,都是工具箱的错😭商人也私募了😡ai你敢说你一点错没有吗？白噪看看自己在打什么😡涅奥也是个机黑，给鸡煲什么垃圾变二😭发牌员你别以为与自己无关，你最可恶👊👊,42,2024-12-21 11:46:18
好想上猛将,鸡煲😭😭😭😭😭,10,2024-12-21 11:00:31
挟雨伴雪催梅折枝去,喜欢我机器人灼热竞赛冠军吗，鸡煲黑说话！[给心心],40,2024-12-08 12:25:57
hypersaga,6号鸡煲被迫还了战士猎人半小时碎心的债[BanGDream_有咲-汗],7,2024-12-07 09:32:48
早起吃毛怪,封面解析：鸡煲大战三奴隶，但是三职业版本,24,2024-12-02 11:22:04
冥界使者-哈娜,今天晚上1个半小时玩鸡煲连续暴毙7次，望周知（⌒▽⌒）,17,2024-12-08 22:12:34
RX4704G,鸡煲的头怎么尖尖的,6,2024-12-03 11:22:04
灭世大魔王陈不二,"“任意角色爽种”
“43分钟？”
“是鸡煲吧？”
“果然，那还用说？”",5,2024-12-24 00:37:42
鲨鱼羊咩咩,每次鸡煲有毒种的时候都会导致我最爱的观者不见了[少年Pi_不乐][少年Pi_不乐],13,2024-12-21 17:38:40
八奈卷心菜,唉，鸡煲,3,2024-12-21 07:45:04
鸦使不够努力,鸡煲[大哭]拼尽全力亦无法战胜,3,2024-12-21 00:50:32
沉醉于繁星,鸡煲一层来回想ai拿不拿呢，好几次开不出来惨死二层前两小怪,2,2024-12-26 00:53:54
から努力の蛋卷,@碎玉灬殇 1220鸡煲鏖战3小时不敌心脏，望周知,2,2024-12-22 18:16:02
问号里埋伏你的罗密欧,再见了，所有的鸡煲战士,2,2024-12-21 10:19:45
酸酸甜甜臭臭泥,不！鸡煲！[大哭][大哭][大哭],1,2024-12-22 00:06:31
霸萌麟,呜呜呜哇鸡煲,1,2024-12-22 01:08:51
哲学讨论组,最近俩月战士哥抗压的概率怎么感觉比鸡煲还高，应该不是认知偏差吧,1,2024-12-04 05:34:39
dzdszdzs,鸡煲社保天下无敌口牙,1,2024-12-02 11:09:16
龙息刷牙没牙垢,1214鸡煲也太奇怪了，31分钟就见到三层boss，按说挺顺利的，但是居然又花了31分钟才打完。,1,2024-12-15 12:06:44
早睡早起道子I,蚌埠住了，原来觉醒鸡煲那局是小胡吗，还能打50分钟那么长啊，这就是鸡煲啊，这么顺的局能打这么久,0,2025-01-07 00:07:04
Nihilisimi,本来想问问主播猎人进阶20怎么打好打一点，鸡煲进阶5就给我上了一课，喜欢贪？一个精英直接全盘葬送[傲娇],0,2024-12-15 00:42:35
雾草茫然,好久没看了，鸡煲怎么还在122[捂眼],0,2024-12-03 10:43:06
秋水fallwater,鸡煲yyds（演艺大赏、以一敌三、医药大厦、医院吊水）[doge_金箍],0,2024-12-02 12:18:51
rzbhbbj,"封面鸡煲射爆 vs 中和猎宝，硬撑战逝哥，和粉碎关节观姐
谁赢谁输？[汤圆]",0,2024-12-02 11:10:50
澪今,封面：鸡煲：射爆 猎豹：中和 战士：重振 观姐：粉碎关节,0,2024-12-02 11:10:07
