user,content,like,time
鲨鱼羊咩咩,鸡煲总能做出“忘拿蓝碎片”“忘打带火”这种认人忍俊不禁的操作,110,2024-03-04 08:51:10
心脏塞的五张状态牌,三月三号那个鸡煲，没打带火机，看成了没带打火机[捂眼],71,2024-03-04 12:45:35
杜安温皓D,封面鸡煲这次变成了奖杯，是不是说明要被猎人和观者举起来，这不就是说明鸡煲要超过猎人和观者了，不愧是我第四喜欢的角色[tv_色][tv_色][tv_色],20,2024-03-02 10:33:41
WenWenYxj,虽然我只看观批和猎宝的片段，但是鸡煲这种欢乐时刻我还是会点进来找找乐子的,18,2024-03-04 12:00:10
冇丶阎,3.5号鸡煲树枝2两小时尽显随机数风采，反观紫人24分钟拿下尽显颓势[doge],14,2024-03-07 01:27:27
Soulyywh,笑点解析：鸡煲正常局2小时，观者毒种30分钟,13,2024-03-07 03:36:50
鳄鱼-泪,0309高中机将尖塔校园霸凌展现的淋漓尽致，没有人愿意帮鸡煲碎心，全都是为了拖后腿😡,12,2024-03-09 18:10:40
龙息刷牙没牙垢,鸡煲好像中了什么诅咒，总是有各种各样的情况发生暴毙。,12,2024-03-03 19:37:32
Clover丶苜蓿,笑点解析：鸡煲是奖杯,12,2024-03-02 11:33:12
raomoure,由于总是10进制而被做成奖杯的鸡煲,12,2024-03-02 11:14:34
嘤嘤蚂蚁桑,鸡煲这一把有种自己看着长大的孩子走了歪路的感觉[藏狐],11,2024-03-05 06:09:57
一个颜艺公主,鸡煲暴毙的原因千奇百怪，反观观者和裤衩，一个经常死塞牌重击天罚，一个经常死于没数值项圈，鸡煲死法更多，鸡煲赢！！！[妙啊][妙啊][妙啊],8,2024-03-09 11:25:14
萌新玖玖狸,尖塔黑暗的一天，鸡煲又把战士哥带走了,8,2024-03-04 11:33:10
新月回旋,"我看这红裤衩也是风韵犹存啊[喜欢]
鸡煲小小的也很可爱[喜欢]",8,2024-03-02 12:09:39
抽卡顺比什么都强,鸡煲这是第几次倒在g/106了,7,2024-03-14 01:47:33
鳄鱼-泪,笑点解析：被小灶撑死的鸡煲,7,2024-03-13 12:18:50
HrDvsJason,鸡煲1连胜的种子星光都这么努力打了两个小时，我有什么资格努力学习（好像没什么逻辑的样子,6,2024-03-08 12:30:51
Taloner,战士鸽:谢谢好兄弟鸡煲送的小灶一份,5,2024-03-13 22:25:10
Jokee丶lunaticus,鸡煲我的鸡煲😭，现在专属BGM都成了从头再来了,5,2024-03-09 03:37:07
马修之意志,难蚌，鸡煲的尸爆启动也这么慢吗,4,2024-03-14 13:20:31
第五棵树,笑点解析：观者稀烂无色开和鸡煲魔盒爽种开一样时间[妙啊],3,2024-03-12 02:45:47
铁甲依旧在j,鸡煲战士哥贴贴（指两者再次同时归零）,1,2024-03-03 21:26:02
凌霈烽,不，鸡煲(>_<)刚突破二十魔咒就因为破哥圆顶没打大火寄了,1,2024-03-03 19:23:42
canzhou999,00:37 哦鸡煲有小灶感觉又要暴毙了,0,2024-03-18 02:18:08
殆已-_-,蓝色鸡煲号撞礁哩[大哭],0,2024-03-13 08:29:01
萌新玖玖狸,鸡煲加班猝死了[灵魂出窍],0,2024-03-13 07:55:09
吾老湿,第一眼想怎么没有鸡煲 仔细一看原来变成奖杯了 我们jb真是太强啦,0,2024-03-02 16:12:05
