user,content,like,time
芜湖航空机长,笑点解析 鸡煲0/106,929,2024-01-15 11:48:37
无瞳の殇,这可是鸡煲用生命换来的棱镜啊！猎人，走下去吧！,82,2024-01-15 11:23:35
天净灰空净,笑点解析：归0鸡煲,81,2024-01-15 11:05:17
想上天的橘猫,是不是每次鸡煲归零都能有素材局啊,71,2024-01-15 11:49:04
半闕詩,因为猎宝用净化烧掉了鸡煲的射爆 导致鸡煲没有了射爆只能在尖塔被暴打[大哭],13,2024-01-15 15:34:41
YSZX蓝字君,鸡煲又归零了，感觉要200连起码得在等两年了,17,2024-01-15 13:41:50
东君TAOEAST,鸡煲向连胜之神祈祷，当连胜之神启动完的时候已经到绿人的主场了,7,2024-01-16 13:44:48
阿兹-dark哈卡,好没看过了，鸡煲这是第几次归零了，怎么感觉最近鸡煲连胜还没上过20[笑哭],6,2024-01-16 01:30:02
魔蘑菇骨子,笑死，鸡煲一条命真值钱啊,1,2024-01-15 18:07:51
汤水饺,主啵主啵我们鸡煲为什么是0,0,2024-01-20 10:51:20
夙樂,我猎厉害吧，拿鸡煲换来的[脱单doge],0,2024-01-15 16:01:56
