user,content,like,time
屑_屑_你-,"论鸡煲为什么是神[doge]
首先是犯下傲慢之罪的战士，凭着自己数一数二的初始饰品续航，就胆敢不把神放在眼里。殊不知自己初始牌烂到一定程度。凭着壁垒叠最厚的甲，殊不知神有着圣物棱镜，将他钉在了最少的43的耻辱柱上
然后是犯下嫉妒之罪的猎人，自以为过牌能力非常强，靠着不断刷牌妄图挑战神的地位。神派下了六火亡魂在她没有净化的时候塞满，派下了时间老头给予期限制。猎人自以为窃取了神的圣物棱镜，拿到了神牌重编程，却不知因此拖慢了自己的速度，在59被神击败。
而后是犯下了愤怒之罪的观者。自称尖塔一姐，却不知自己脾气的反复无常惹怒了神。神于是降下神罚，使其每次进入神格后就会死亡并剥夺了她大部分的过牌能力。观者不满而妄图挑战神的地位。却因为大怒之后遇到神使蛇花，止步于88层阶梯。
最后是犯下沙雕之罪的群友。遇到神之后不仅不跪拜，还口出狂言kaakaa。神于是限制其能力，使其力量“无人能敌”",1108,2021-12-07 19:31:01
我在非洲的前期,"战士哥：“站百胜尖塔上的终究是（被捂嘴）是我！故障机器人！”此刻，所有人都望着他。拥有尖塔无数随机数的机器人！
不是战士哥的循环烧牌；
也不是猎人的过牌无限；
更不是观者的姿态切换；

只有机器人！蕴含着全尖塔的究极随机数与高成长性的故障机器人！我宣布！今年尖塔冠军是----！！机器人！！
重振鸡煲荣光！吾辈义不容辞！[傲娇]",585,2021-12-07 19:11:58
光军光军_,"“说不定还能更进一步呢！”
然而此时的鸡煲还不知道，一切命运的馈赠，早已在暗中标好了价格……
（0/106）",235,2024-01-24 07:41:31
LACUP1,鸡煲得感谢光头在观者连胜中断了以后稳重了许多[doge],176,2021-12-07 19:12:39
六氢呋喃,以前觉得偏差认知的沙雕卡面就图一乐，现在看来鸡煲才是真神[Cat2_Astromeawt!],116,2021-12-07 19:47:26
摸鱼的徐,"曾经的鸡煲，第一个百胜
现在的鸡煲，17/106",53,2024-03-01 06:43:00
言华_sakura,谁知道鸡煲的一百胜已经是巅峰了，令人感慨,6,2024-07-02 22:40:14
十时拾辻六,原来鸡煲是第一个百连的角色，令人感叹,6,2024-02-18 00:39:39
蒙斯特之夏,"kakaa，昨天有好消息，也有坏消息
好消息：猎宝百连了
坏消息：鸡煲头七刚过又似了",21,2023-04-10 08:44:58
一只叫Tails的狐狸,首先是犯下傲慢之罪的鸡煲,5,2021-12-12 11:46:13
小羽宇于雨yu,令人感叹鸡煲重回巅峰,12,2024-07-26 23:21:47
Mercymoci,曾经你是个传奇，但是鸡煲，看看你现在的样子[贝拉kira_给我出去],14,2024-04-26 00:01:21
账号已注销,鸡煲，尖塔之光！,4,2021-12-07 19:04:04
是黄茶啊,鸡煲还是改削，碎片改成打两张一集中，偏差改成一张两集中怎么样[Cat_agree],7,2021-12-08 18:39:55
剑王高手,百胜将所有鸡煲拿的好牌和好遗物的汇集到一起（除了磁盘没有）,3,2022-07-08 11:49:49
浪丶阿狗,重振尖塔荣光，我鸡煲义不容辞！,2,2021-12-07 19:06:54
并非星野爱,前几天鸡煲又寄了，记录一下[UP_14064034_问号],2,2025-02-20 03:44:39
tail张,鸡煲再登神坛,2,2024-07-22 15:50:00
薯光五公里外,哎鸡煲——,2,2021-12-12 00:57:24
异眼钉帧,今天鸡煲又寄了[大哭],6,2024-04-06 23:54:37
Tenmetsu,还以为鸡煲穿了个厚马甲装了四条腿[tv_目瞪口呆],0,2021-12-09 09:50:30
一位路过的柠檬精,泪目了，这就是鸡煲吗,0,2021-12-07 19:13:11
柒零二一,鸡煲,0,2021-12-07 19:04:01
静夜闲寻访,鸡煲:你对力量一无所知！,0,2024-06-19 00:07:29
RainCypress,唉，鸡煲,0,2024-01-30 11:21:19
爱纸月,哈哈鸡煲,0,2023-10-22 11:03:46
