user,content,like,time
bili_40508,是我第四喜欢的鸡煲,544,2024-06-07 11:34:44
小小王ww,全程在，7点多进的直播间，看见在玩鸡煲，觉得哇，折磨流开局，当时在吃晚饭，边吃边看，弹幕还挺热闹的，都是在开鸡煲的玩笑，后来好像牌运很差，一直拿不到那个五费三离子球那张卡，手上牌只能说勉强能过渡二层，三层是敢都不敢想，弹幕都在刷是紫皮人搞的鬼，不允许鸡煲52连胜，结果软磨硬泡了一会2滴血出的三层，都说打不过矛盾，然后sl了6次好像也给过了，都指望着矛盾爆点好的，结果就一个暴雪，砸冰球那个能拿，哇，当时大家都觉得死透了，怎么可能过心脏，啥都没有，真的就只是过二层的配置，然后都说算了，放弃吧，主播一直在那sl，说实在有点犟种了，我也觉得看着有点无聊，自己开了把鸡煲，听着主播一直在那sl，分析怎么打，弹幕在那点歌，从头再来，和jimoji那个，特搞笑，都觉得肯定寄了，然后主播还是不肯投，又盘了一个来小时吧，那会弹幕都很少了，可能是溜去做别的了，我自己开那把鸡煲也碎心赢了，那会都10点过了，然后听到主播说有希望了啊，看到了赢的希望，就这句话之后，都还sl了四五次，调整个别牌的牌序，又过了一个多小时，最后一盘弹幕全在刷会赢的，还有些啥，都特别激动，最后特么就赢了，那时候真的很感动，直播间全沸腾了，连上了20个舰长吧，似乎，主播就是很平淡松了一口气，打了把点播后复盘一下，很简单很普通的一天，但是真的感觉，很不一样,928,2024-06-07 11:15:50
潇洒的大提琴,贴吧里看到个评论“不愧是鸡煲，总能解决其他角色遇不到的问题”[笑哭],300,2024-06-07 11:10:16
药大网友不请自来,那天，鸡煲以一己之力，从7点开播打到11点50，差点害的老板的生日点播打不了，最后复盘里大杀四方，这一世，就用蛇眼陨石来拯救，不管哪一局都是纯纯的享受[傲娇],219,2024-06-07 11:06:36
莜鸢,鸡煲一把玩一晚上，还有其他的角色能做得到吗？[傲娇],192,2024-06-07 11:01:36
壮士莫走,今年的上海高考作文题，一下就想到了尖塔第四强的鸡煲，真是认认又可可啊[脱单doge],35,2024-06-07 13:17:50
第五棵树,"猎手：“会赢吗？鸡煲。”
鸡煲：“会赢的。”
鸡煲：“我要声明一下，你才是挑战者。”（指心脏）
超能光束！
蛇眼！暴雪！冷静头脑！回收！
鸡煲：“我可是机器人 ！”
猎人：“也就是说，是鸡煲赢了。”
「最强」的五字角色，刻印于尖塔顶端
⛏️6×15 ⛏️49 🔥
⛏️8×15
鸡煲：“抱歉心脏大人，没有让你使出全力”",42,2024-06-07 12:34:33
剑王高手,"紫人半小时险胜难掩颓势，
鸡煲5小时不败尽显风采！
紫人是这样的，只要把猛虎发泄妖邪找到就可以啊啊啊了，但鸡煲要考虑的就多了，费用，伤害，烧牌，牌序，运转缺一不可，是整个晚上碎心时长最少的角色，机黑说话！",38,2024-06-07 12:22:43
红萌馆の管家,"低情商: 这就是鸡煲，得sl五个小时才过
高情商: 这就是鸡煲，只要努力总会成功",36,2024-06-07 11:27:36
药大网友不请自来,"观众是这样的，光头只需要凹世界线就可以了，而我们观众要考虑的就很多了。
观者是这样的，鸡煲只需要凹随机数就可以了，而我们观者要考虑的就很多了。
商店老板是这样的，玩家只需要拿钱刷就可以了，而商店老板要考虑的就很多了
心脏是这样的，鸡煲只需要尽力活下来就可以了，而心脏要考虑的就很多了
蛇眼是这样的，鸡煲只需要出牌就可以了，而蛇眼要考虑的就很多了",36,2024-06-07 12:15:26
罐子dyq,鸡煲是这样的，只需要凹随机数就行了，而紫人要考虑的事就多了,8,2024-06-07 15:15:33
蝴蝶十号,一个种子，一个人打可能是毒种，另一个人打可能就是爽种了。世界线的变动对任何人都是公平的，谁都有碰到毒种的时候，也不是谁都会选择耐着性子调排序，如果是我大概第二层就自杀重开了，所以才格外佩服xggg的耐心和毅力。这个牌组不管怎么看都是防也防不住打也打不动的，一切全看天意，在无数个交药SL保命的瞬间我都感觉鸡煲要倒下了，xggg还是能硬生生碎心，真的强大，真心佩服！[热词系列_燃起来了],7,2024-06-07 19:10:32
寒小小小小小小,啊？鸡煲超级爽种，连爽五个小时[灵魂出窍],34,2024-06-07 11:01:00
浓缩不加糖,17分进三层，1小时40分进心脏，弹幕都在说什么“打了两个小时，我们鸡煲是这样的”，殊不知一切才刚刚开始，全程接近5个小时酣畅淋漓的对局完美展现我们尖塔第四强的实力[脱单doge],24,2024-06-07 12:36:36
暮云AAAA,7点进直播间是鸡煲 9点半回来还是鸡煲 以为顺的不行打到第二轮了,6,2024-06-07 11:59:30
艾德伍德的飞碟,在现场，睡了两觉还在打[doge]，然而局内时间只有48分钟，鸡煲就是我们尖塔的奇异博士,20,2024-06-07 11:07:00
