user,content,like,time
薛寶釵拳打鎮關西,"鸡煲为了证明自己是尖塔最全面的角色，向剩下三人发出了挑战。

战士哥：“我可以烧牌打小循环，你会吗？”鸡煲拿出了回收

观者：“我可以保留牌在手上想什么时候用就什么时候用，你会吗？”鸡煲拿出了均衡

猎人：“我没什么特点，他们都说我转来转去像个小丑。”鸡煲：“我就是小丑。”",359,2024-08-19 11:07:28
淡墨洇侵我心宣,"众所周知，杀戮尖塔强度倒数前三的角色分别是：
故障机器人
鸡煲
蓝眼黄皮怪

强度前三的角色分别是：
紫色古杖极启人
红色固涨集齐人
绿色骨障急启人",127,2024-08-19 11:18:46
卡安KA,本来要打鸡煲换四开点播的，结果发现没有换四只能打下一个，警惕新型鸡煲笑话了[笑哭],95,2024-08-19 11:15:16
朕的心要碎了,我看要重新评估一下观者的强度了，每次都是鬼抽倒地，反而看鸡煲，上一次翻车是sl手慢，再上一次是忘打带火精英，不然早就三四百连胜了,42,2024-08-31 18:35:22
落羽鸽,鸡煲最强金卡[OK],12,2024-08-19 12:19:10
陈艺术,战士>猎人^鸡煲^观者,20,2024-08-19 21:27:46
可加加可,点播鸡煲换四结果发现只有两个选项的你[藏狐],14,2024-08-19 11:24:48
你是远的一声叹息,光头又偷懒！不是说小灶也要写剧情简要吗 万一鸡煲小灶断连胜了没看到咋办[doge],10,2024-08-19 18:44:21
清芷猫猫,我们鸡煲真是太强了，另外三个人连胜乘起来都没有鸡煲多（指合集第一p的时候）,12,2024-08-19 12:04:18
对苯二乙缺,0826的鸡煲简直就是不故障机器人，最应有尽有的一集,8,2024-08-27 14:46:02
心脏塞的五张状态牌,820标题干手机，我还想了一会为什么要把手机干掉，结果是拿到干手的鸡煲[doge],2,2024-08-22 07:44:28
意识流的熊猫,这封面啥意思[doge]为啥鸡煲成了红裤衩的载具,1,2024-08-20 12:17:28
