user,content,like,time
助人為樂的小唯,"有个萌新在贴吧问：如何解决励志局的加费与起防问题？
战士玩家不知道什么是加费，
猎人玩家不知道什么是起防，
观者玩家不知道什么是励志局，
而鸡煲玩家不知道什么是解决。",313,2024-01-03 11:05:43
HSGarros,"问:鸡煲随机数领域大神的优越性在哪里？
答:能够克服其他职业不存在的困难。",285,2024-01-03 11:55:14
第五棵树,鸡煲把自己所有的连胜上供给猎人冲200连胜，自己吃着咸菜米粥，盼望猎人回来和他结婚，殊不知猎人只是把鸡煲当中工具人罢了[大哭],67,2024-01-14 12:49:42
quicksi1ver,"嘲笑鸡煲的人有难了，鸡煲会狠狠打击你们这些亵渎者！
什么？你问为什么是打击？因为鸡煲没找到过渡攻击牌。",45,2024-01-03 13:16:29
AWSXDRFV,"鸡煲说：“要加费。”于是，尖塔就有了灵体外质、破碎金冠、天鹅绒颈圈。
鸡煲看遗物是好的，就有了小宝箱。",35,2024-01-19 02:23:05
quicksi1ver,猎人使用了尸爆术，害死了鸡煲和红裤衩,30,2024-01-18 22:01:12
凛骞银,速报！老板死战两天的鸡煲毒种被星光破解了，双深呼加立场完成了翻盘，创造奇迹！见证历史了[给心心],27,2024-01-15 22:46:36
凛骞银,幸福的鸡煲总是相似的，不幸的鸡煲各有各的不幸[大哭],18,2024-01-15 22:12:53
浮生若梦海阔天空,鸡煲又突破下限了，以后其他职业碎心连胜，鸡煲要变成碎星连胜了,15,2024-01-18 20:28:08
霜雪清枫,最新情报，鸡煲又寄了[委屈],14,2024-01-15 19:50:00
星野岚川,以前鸡煲只是突破不了20，每月能看到寄两次。现在都突破不了5了吗，每周都能看到寄两次[大笑][大笑],13,2024-01-18 20:58:04
恋芙兰结婚,刚给鸡煲和小蓝人点了世界上的另一个我就二进制了，发牌员这把是不是你发的有问题[FGO_怒],13,2024-01-18 20:30:03
火山飞鱼,唉，鸡煲人称蓝零亡,11,2024-01-23 12:50:08
卡尔林奈,创造101优胜选手：鸡煲！,8,2024-01-18 20:26:42
我是洛伦磁力,鸡煲拿灵体，两场战斗鬼抽直接趋势，望周知（无慈悲）,7,2024-01-11 21:46:58
雨宫Mizutsuki,哥几个搬的那鸡煲笑话帖子是吧,7,2024-01-03 12:05:37
゙KLOT,《鸡煲鬼抽了》,6,2024-01-13 02:41:24
148Here,封面观者腾越 猎豹风筝 战士恰肉 鸡煲...鸡煲在干嘛[2233娘_疑问],6,2024-01-03 10:50:25
马修之意志,鸡煲的启动，笑死我了。两把鬼抽，又刚好拿了灵体扣了血上限，睡觉睡不回来直接归西了[捂脸][捂脸][捂脸],5,2024-01-13 13:18:30
刚入坑的皮卡锤,"开盘了，KaKaa们觉得下次鸡煲啥时候归零？
我先来，连胜小于20。[抠鼻]",5,2024-01-12 23:45:35
对苯二乙缺,还是看看昨天的棱镜测试局陀螺鸡煲吧，是时候维新了！,4,2024-01-19 00:34:10
萌新玖玖狸,鸡煲😭😭😭,4,2024-01-12 13:31:54
六指蛛,犹如鸡煲面对五萝莉一般的无力感,4,2024-01-11 19:30:20
萌新玖玖狸,战士哥又陪鸡煲了呜呜呜,3,2024-01-19 14:16:11
陈艺术,鸡煲用诅咒，将今天的所有对局都变得艰难,3,2024-01-18 23:00:12
浮生若梦海阔天空,今年鸡煲寄了多少次了，有人统计过吗[tv_白眼],3,2024-01-18 20:24:34
瑟瑟发抖小萌新plus,最近鸡煲怎么寄这么频繁,3,2024-01-13 00:14:18
声如初见,鸡煲一直暴毙,2,2024-01-12 10:26:35
凛骞银,紫牌猎人的点播条件有什么深意吗🤔，鸡煲怎么了[惊讶],1,2024-01-21 13:44:08
言华_sakura,唉，二进制鸡煲,0,2024-01-22 17:56:27
我是洛伦磁力,鸡煲又死了。。。,0,2024-01-15 19:51:19
canzhou999,红裤衩踩了个红石，绿人踩风筝，紫人在腾越，鸡煲手上是什么，霹雳霹雳吗,0,2024-01-03 14:38:09
