user,content,like,time
孩贼王出击,。。还是感觉二百连胜由鸡煲达成好点，鸡煲兢兢业业为杀戮尖塔付出这么多，到头来桃子让红人摘了，意难平啊。,572,2024-08-28 13:15:34
程咬金的第四板斧,鸡煲把运转的能力借给猎人，把数值的能力借给观者，把回复的能力借给战士，自己却因此陷入瓶颈，鸡煲不图名利的精神够三人学一辈子了。,146,2024-08-30 05:03:16
LonelyStalker,没关系的鸡煲，到其他角色六成水平也很棒了[星星眼],122,2024-08-28 11:02:43
Nuyoah30,"我要点名唯一一个没有在光头直播间达到200连胜的角色，诸位请选择你的立场：
①光头是鸡煲黑[doge]
②光头无罪，鸡煲纯自己菜的[脱单doge]",23,2024-08-28 11:42:40
碎镜与蠊,鸡煲的连胜就像他的发育曲线一样，一开始遥遥领先（指一层乱杀），到后来吗[doge][doge],22,2024-08-28 11:26:00
助理司书,这下鸡煲最菜了，怎么办呢,14,2024-08-28 11:00:34
Nihilisimi,感觉回坑一看，好多卡数值削弱好多，鸡煲一个下午都打不进进阶20，好多卡感觉纯幽默,2,2024-09-02 12:19:04
支持你大爷啊,什么时候鸡煲两百连胜啊[滑稽],0,2024-08-28 17:22:03
这么大的一个,怎么都在乳机 马上某紫皮角色就要和鸡煲坐一桌啦[给心心],0,2024-08-28 16:52:22
daiwey,为什么要单发羞辱鸡煲[委屈],0,2024-08-28 15:13:12
若梦Zv,让我康康谁还没有200连胜？哦！原来是鸡煲啊，这恒河里,0,2024-08-28 11:34:31
早起吃毛怪,机黑别急，鸡煲还在启动[傲娇],0,2024-08-28 11:19:57
