user,content,like,time
老米嘎,爪击鸡煲天下第一！,12,2022-04-18 19:15:52
发呆的艾丝,休闲玩家，鸡煲对比战猎，真的像是个残废一样[捂脸],3,2024-06-23 13:31:32
Soyorindaisuki,今年是几几年，居然可以看到鸡煲攻略[打call],3,2022-04-18 06:05:34
七七四六,我打鸡煲喜欢拿递归盘黑球，直接化身黑暗大法师,2,2023-09-14 12:44:27
3702-,"今日豹历2月19日，鸡煲攻略只更新了（一），望周知
[妙啊][doge]",2,2022-04-17 19:45:27
拉格朗日月高值定理,感觉鸡煲能走多远就看能拿几张冰球卡，前期没冰球流血水龙头，后期没冰球，BOSS一拳一个坑。,1,2024-10-16 17:20:11
数字界与字母界的二把手,看了这个鸡煲终于过2层了，不过和收藏家大战了20个回合[笑哭],1,2024-01-14 14:25:02
别动我的恍惚,鸡煲每次碎心都差不多一个小时，我打得最慢的一个职业[tv_流泪],1,2023-07-28 11:21:26
32980815420_bili,我反倒是鸡煲第一个a20碎心 劣人因为太贪，走多精英路线经常一层暴毙现在才a10,1,2022-04-19 13:37:18
㔿w㔿_,鸡煲出来了，好耶[热词系列_好耶],1,2022-04-17 18:17:47
与岸莫名其妙,主播鸡煲玩的这么好，怎么不一次出完呢,1,2022-04-17 18:16:54
_觞_,我从上个季度就开始等鸡煲攻略了[doge],1,2022-04-17 18:16:54
V-perm,终于！（对咕了这么久的鸡煲攻略已经说不出什么骚话了[傲娇]）,2,2022-04-17 22:41:45
某科学的木原一族,鸡煲难受就难受在牌很低效，像观者，以手拒之和心保，属于是攻击和防御两手抓，鸡煲攻防前期不可兼得，好防牌力场前期鬼抽没能力牌就寄，而鸡煲鬼抽死亡率很大，因为没有过牌,0,2025-03-12 12:31:33
桥豆玛奈,我不管[傲娇]鸡煲就是最超模最强的,0,2024-06-01 17:23:00
万年老书虫_b站版,终于a20碎心鸡煲,0,2024-05-07 00:49:48
矢泽李狗,玩不来鸡煲，我新手猎人都进阶5了鸡煲还没通，搞不懂鸡煲的运转[捂脸],0,2024-03-18 21:47:17
凯撒-cc,鸡煲一层依靠初始遗物还是很强力的可以多发育，一到二层就萎了需要开始苟到三层,0,2024-02-15 18:38:15
我要吃萝卜啊,太好了 是我第四喜欢的鸡煲,0,2024-01-25 01:51:27
陈子水,第一次碎心玩的鸡煲，三层能力鸡大战觉醒鸡，进阶高了不会抓过渡老是暴毙[保卫萝卜_哭哭],0,2023-11-21 00:02:23
枯月a,鸡煲可以打离子球双放无限，就是太难删牌了[笑哭],0,2022-08-25 17:41:20
唔希迪西_,一层双冷头，本来拿个暴雪只准备过一下六火，结果2层开头就来了个回收，直接烧完了冷头循环，后面又来了疯狂之间无限了，第一次玩鸡煲这么爽[给心心],0,2024-04-15 16:17:11
苼雨sy,经典复刻，鸡煲薄纱老头,0,2023-07-05 12:47:42
