user,content,like,time
RiseWiththeBestofYou,鸡煲找到观者，说我要学猛虎下山。观者说这简单，你要先让自己愤怒起来。鸡煲试了试，发现愤怒起来就过热故障了，于是赶紧找商店老板买了俩散热片装上。,109,2025-01-13 00:15:34
小黑的猫窝,"不是黑，但是我其实有点不明白为什么辉辉更喜欢抓弹幕，我一直都觉得这张牌本很垃圾，不知道大家怎么看待弹幕
还有快检，以及编冲，我都不是很喜欢，而且我玩鸡煲除了非常缺费，不然我是不会拿加费的，除非修车➕咖啡杯，金冠，绿帽，圆神我都不喜欢，也就狗圈和诅咒要是我能接受",88,2025-01-12 22:25:14
-Marigold_,我说爪击是鸡煲最强成长牌,1,2025-01-12 21:50:06
阿城想长高,纯萌新[笑哭]鸡煲这么弱官方就不想着增强吗,0,2025-03-06 21:56:20
411022,好像没录回收的抓率？好奇这张鸡煲唯一烧牌不同阶段有多少抓率,0,2025-02-04 00:23:18
普挞_,差在我玩鸡煲玩不到万小时[doge],0,2025-01-25 13:47:50
雾氧UFo,鸡煲总得来说的确偏弱，不过前期伤害还是很高的，一层牌好一点没啥战损的。下限还可以，上限很看理解。,0,2025-01-14 18:07:25
大肥脸然,鸡煲10连败了，这对我很重要[A-SOUL 绽放收藏集_超喜欢],0,2025-01-13 00:54:12
热心网友由顺岐,我鸡煲玩的少，一直搞不清楚鸡煲具体弱在哪里，但上手就感觉这角色弱。所以鸡煲的缺点到底是最为诟病的启动端，还是别的问题存在，望豹豹解答,0,2025-01-18 23:42:57
花湮莫怜,"我遇到过发牌能用的只剩爪击，抓了一张暴雪，一张冰球没摸到，打到了三层觉醒者，然后嘎了
第一次鸡煲通关冰球暴雪过关",0,2025-01-14 20:57:00
Dr-Schiller,我玩鸡煲只玩爪机和射爆，前期遇到爪击万物之类的必定裸抓一张[笑哭]，能力机之类的不咋玩。,0,2025-01-14 18:14:54
