user,content,like,time
没救的懒咸鱼,鸡煲笑话之完结篇---鸡煲没了,1609,2024-04-11 09:09:53
那一個夢燈籠,"鸡煲要和观者打复活赛？
鸡煲：要上吗？我打观者？真的假的。。。",1534,2024-04-11 09:32:35
开始自闭的星际玩家,观者不来其实很合理的。因为她评估完尖塔了。鸡煲估计是要额外唤醒？,901,2024-04-11 08:59:55
114514矩阵,"鸡煲可能改成：
初始遗物换成等离子核心，在战斗开始时提供一张等离子充能球，0费消耗，提供一点能量
有且仅有一个充能球栏位，初始为空，当填入闪电球的时候进入充电过载态，造成双倍伤害，但是收到双倍伤害；当填入寒冰球的时候进入稳定运行态，离开这一状态时获得两点能量；可以植入病毒，当植入十个之后进入共生病毒态，进入时获得三点能量，造成三倍伤害，并在下一回合自动退出该姿态
此外，卡牌也有更改，比如机器学习，初始一费，锻造之后0费，效果：当你进入充电过载态时，抽两张牌，等等[脱单doge][脱单doge][脱单doge][脱单doge][脱单doge][脱单doge][脱单doge][脱单doge]",664,2024-04-11 17:30:45
螺丝Dolores,"没有机器人和观者，这一点可以推测：
1. 一代四职业中，机器人和观者是相对特殊的存在，前者本来就是从尖塔中诞生的机器，而作为机器之身，不考虑磨损的情况下，可以拥有超长寿命。后者来自一个神秘的组织，从观者的牌组名称的位格可以推测，观者也许也拥有某种超凡的秘术，可以长久保持寿命。
2. 因此，结合画面中出现了机宝的元素，可以推测机宝在二代中应该还会出现，但只是作为某种事件的npc，比如说他将一代的机器人牌组交给二代的主角们，又或是鸡煲给你提供几种选择，在你选择后，机宝借由自己与尖塔的联系，引动某种变化来使主角获得收益
3. 至于观者为什么消失，还有另外一种解释。观者在一代中是作为某种观察者和监察者，从塔外的神秘组织来到塔中进行观察，因此合理推测：千年时间过去，当初的观者已经逝去，现在的死灵法师和当初的观者来自同一个组织，他是神秘组织派来的新的观察者",414,2024-04-11 23:55:18
账号已注销,鸡煲你怎么了鸡煲😭😭😭😭,150,2024-04-11 08:50:27
聪明石头刀,商人卖东西那里左上第二张牌是爪机，鸡煲打赢了复活赛,119,2024-04-11 08:51:17
爱丽丝拉斐尔_Official,"虽然图已经发了，但是特么的谣言实在是太多了，所以我再发一下

尖塔相关补充

现已在steam上可以加入愿望单,大伙可以看看，有一些新消息（基本上是奔着全动画去了看起来）

安东尼（尖塔制作人之一）：我们尚未公布全部角色阵容牢鸡正在和牢大打复活赛，扣1复活鸡煲，扣2复活阿观（不是）",281,2024-04-11 08:56:37
咸某鱼OvO,"在尖塔1中，鸡煲一直承受着他人的嘲讽和鄙视
不过没事，尖塔2里，鸡煲将如亡者般归来",41,2024-04-11 11:56:31
Chester_Sanchez,"没有观者和鸡煲是因为观者已经速通完了
鸡煲还在启动
鸡煲还在启动
不好意思，触发回响了",7,2024-04-11 18:03:24
七七七韵,我的鸡煲呢[大哭]不会10张启动流程卡启动了吧,40,2024-04-11 08:48:52
RyanGu88,鸡煲的结局：偏差认知开太多了，集中掉完了疯了爬不了塔了，成为尖塔慕容复,34,2024-04-11 11:33:01
白沙华,观者已经通关尖塔2了，鸡煲还在尖塔1启动,6,2024-04-11 12:15:41
作业用BGM,又开始带鸡煲节奏了我真是服了😅鸡煲是这个游戏唯一的完美职业，已经和尖塔融为一体，成了尖塔的底层逻辑，成名绝技偏差认知给尖塔带来了这个贴吧最经典的话题，创造了尖塔的黄金时代，诋毁鸡煲，你想毁了杀戮尖塔吗？,9,2024-04-11 11:27:06
蠢蠢的骑士在摸鱼,悟了，新职业的技能是召唤一个死去的鸡煲,4,2024-04-11 08:50:39
青春呆湾,鸡煲因为太弱，所以黑化了，成为1000年后的尖塔控制者,2,2025-01-22 18:23:00
苍枪鱼喵,鸡煲没了，而观者已经爬塔爬到了杀戮尖塔3[笑哭],2,2024-09-04 06:32:01
普通的多元素人,观宝和鸡煲会不会像隔壁暗黑地牢一样把角色分开卖DLC啊。,2,2024-08-25 19:58:35
亦江南suki,"感觉最大的问题就是画风，和一代差太多可能体验不好（起码我不太能接受这个画风）
感觉鸡煲会打赢复活赛，然后不再是四个人中第四强的职业，希望如此…
鸡煲预告没出现我还有个猜测，或许鸡煲需要有条件解锁，或者要某个职业打完某个流程，或者某个特殊事件特殊boss。🤔
希望二代能更好玩",2,2024-08-10 15:19:17
劣人还在坐牢,鸡煲该不会被修好去帮心脏了吧（,2,2024-04-11 20:39:37
急躁发泄超能光束萎靡,鸡煲好好调整，哥几个等你回来,2,2024-04-11 16:59:50
爱在十九中,加强鸡煲,1,2024-06-30 23:40:19
索克萨尔,"会不会骷髅就是鸡煲？鸡煲的核心脱离机体，诞生的意识附到某具骷髅上。但卡组可能完全不同，因媒介不同而发生改变，在设定上是说得通的。
所以实际上既是鸡煲也不是鸡煲",1,2024-04-26 23:37:43
鳗鱼茶eeeel_tea,由死灵法师的出场特效是蓝色的可知：死灵法师是鸡煲偷学了观者的平静姿态，这下尖塔2里就同时有鸡煲和观者了,1,2024-04-13 19:51:55
超解必空的夏树,"鸡煲启动慢，目前卡启动了所以首发还没到场
观者已经到塔顶在观看结局动画了",1,2024-04-12 03:04:05
白阳沐风,懂了，死灵法师召唤鸡煲打复活赛,1,2024-04-11 12:53:12
褚向生,咱就是说，商店里的是鸡煲的牌，说明鸡煲在爬塔。,1,2024-04-11 11:50:17
爱笑的柴犬QAQ,鸡煲此时还在一代，回响，启动！集中，启动！扩容，启动！冰球，启动！啊，被启动时小怪“刮”了几十滴血，等待双修车ing[大笑],1,2024-04-11 10:35:50
ehzeeeeee,鸡煲一定要打赢复活赛[大哭],1,2024-04-11 08:51:03
迪纳魔流,鸡煲是最弱的吗。。。我感觉可以SL应该不是，鸡煲拥有最多随机数可能，NOSL就不好说，很不稳定。NOSL里紫人也不好说，很容易突然暴毙,1,2024-05-08 19:19:16
超级zhuzhu侠,错啦，鸡煲和观者合成一个新角色（？？？）,0,2024-12-13 08:46:29
无头骑士甘尼迭,为啥说鸡煲是最弱的...针对碎心而言么...?[吃瓜],0,2024-05-02 13:46:52
