user,content,like,time
嚻小火龙嚻,主包主包，你的鸡煲固然很强，可还是太难玩了，有没有什么更简单的角色可以学?,149,2025-01-30 16:41:04
花阳希希,鸡煲决赛只有一个人完赛 主办是机黑[委屈],58,2025-02-01 14:25:35
秋夜朱雀原,鸡煲nosl不若比我观者sl还快[笑哭],46,2025-01-30 16:05:46
我的小狗叫肉包,鸡煲a20的nosl还能17分钟碎心真的太恐怖了,44,2025-01-30 16:34:14
老板加个可乐鸡腿,鸡煲组要无人生还了，哈基豹看你干的好事[笑哭],39,2025-02-01 14:25:19
失去梦想owo,鸡煲杯无人生还，因为豹豹不是人，是豹[妙啊],10,2025-02-01 14:33:39
风走遍,"太惊险了
鸡煲一血墨水瓶蓟县反杀
劣人两层发牌稀烂几欲放弃最后苦尽甘来
战士启动困难谁料尼利老头甜八矛盾把把发腐化
最后夺冠也是实至名归",6,2025-02-02 19:51:57
一航13,唉，鸡煲，唉,5,2025-02-01 14:09:33
冷月冰焰,真离谱了，鸡煲NOSL 17分钟碎心，主打一个本能反应，我都没想明白怎么打海豹都已经打完了[辣眼睛],5,2025-01-30 18:46:41
云宝EMMM,只报名了鸡煲的比赛嘛,5,2025-02-01 15:03:00
苍小流摇,"过年若种赛
豹豹猛打鸡煲牌
碎心真是快",3,2025-01-30 19:04:26
松坂さとうの犬,我鸡煲a20SL赢都是个问题，你告诉我17分多nosl速通了？,3,2025-01-30 17:55:05
一口一个可爱do,鸡煲还是太强了，还得再削！,1,2025-01-31 14:28:51
一日一学酱,太哈人了，人家a15竞速赛鸡煲组决赛一般很快的都是14-17碎心，还不是说把把能碎。a20 17分半真是太恐怖了[辣眼睛],1,2025-01-30 17:42:31
就这翻滚果断白给,这鸡煲比别的组的职业都快的多了,0,2025-01-31 12:21:11
呵呵镜哈哈,我的天哪鸡煲大人[星星眼],0,2025-01-30 21:59:17
