user,content,like,time
小小约的第一人称主角,鸡煲的启动速度是小红的七倍，鸡煲不舒服会自己回到塔底的,1948,2024-04-16 21:00:14
怎么取名才不重名啊,鸡煲头脑风暴时刻[doge],2,2024-11-22 12:24:48
伊芙过客,我们鸡煲一般都是直接投降[星星眼],1,2024-04-16 11:29:09
谦谦谦丶牵手,我鸡煲只需一个AL就可以完美抵挡小红,0,2024-10-04 01:35:10
十三想变拾叁,还没接触游戏的时候有人说小红是鸡煲的爹，直到我开始玩鸡煲遇到了爹,0,2024-09-12 19:10:48
古牙法法,开小号在新手村堵鸡煲的撅醒者,0,2024-08-31 07:18:35
水贴大王,a20劣人没抓攻击遇到乐嘉老师，a20鸡煲删打击抓冰川遇到大红地精,0,2024-07-01 00:42:39
sprclmoon,这不是我们鸡煲的⭐😡吗,0,2024-06-27 00:54:09
咱是正紧人,刚刚鸡煲进阶20苟到第三层遇到了带火大头怪，打不动随手一发烟雾弹，然后反应过来光速退游,0,2024-05-03 22:55:02
gyyygyyg,猎人和鸡煲的爹[笑哭],0,2024-04-17 13:15:58
