user,content,like,time
冷冽谷的双月,"那年的天罚一镰刀打了海豹的战士上，
我看到海豹手拍豹毙的鼠标泣不成声，
这个画面我永生难忘，
那一刻我在想，如果海豹能玩鸡煲，他一定能赢下所有，
如今腐化之心就在眼前，海豹必须考虑是不是他此生仅有的机会（bushi），
我相信，鸡煲能有曾经的霸主地位，沙漏功不可没，
重振鸡煲荣光，吾辈义不容辞",254,2022-04-19 07:21:02
我去李大爷,刚打了一把三全息+找疯狂过的0费分离局，启动以后一回合打四次分离活活把心脏a死了，真抽象啊鸡煲[崩坏3_差不多得了],3,2025-01-11 01:55:23
花开l陌路,"豹豹强捏，可以说是把鸡煲解释的十分透彻了[音律联觉_赞][音律联觉_赞][音律联觉_赞]
所以就等着豹论猎宝了，听完就取关[音律联觉_期待]",10,2022-04-19 14:36:09
pair4,不同职业的路线规划可以讲一下吗？自从听了吧主名言:鸡煲无脑选火堆最多的路线，胜率直接高出不少,5,2022-04-19 13:59:37
゚゙゚゙゙永雏塔菲,-32集中鸡煲,2,2024-09-05 18:29:07
魑魅魍魉火狐,为什么不说说物理鸡煲呢，我如果一层拿了社保就考虑玩物理机了，感觉重编程挺厉害,4,2022-04-19 07:22:28
渚薰的小鱼干,我勒个豆24年还有6个人半夜三点看鸡煲攻略 大虐,1,2024-09-06 03:20:36
zkpkkobe,看了好久豹豹和光头，别的职业a20不说80也有70胜率了，只有鸡煲一直暴毙二层小怪或是没上限防不够呗铜人收藏家拍死，胜率估计30都不到，太难啦[藏狐],2,2023-06-08 12:45:24
彼岸幽蝶ざ,终于用鸡煲成功碎心了，潘多拉发力了[崩坏3·光辉矢愿_安详][崩坏3·光辉矢愿_安详],0,2025-02-24 01:56:50
拓水大大,战士观者太强了，猎人运转太小丑。很快都打上进阶20后，开始玩鸡煲，感觉这是最有意思的职业，玩一把就爱上了。玩了两天一直打到进阶17突然卡住了，连输五六把来看白夕教学视频[星星眼],0,2025-02-08 11:31:26
破浪的独行人,现在玩到观者a20碎心，其它a0碎心，除了紫论外，红绿蓝强度真的是一个水平吗[藏狐]感觉鸡煲机制复杂、时间又长，方差很大、数值还低[辣眼睛]体感强度紫>>红>绿>>蓝,0,2025-01-02 00:30:08
山月当空,突然发现不会玩鸡煲现在连心脏都开不了[灵魂出窍],0,2023-09-10 19:37:03
山月当空,鸡煲这也太难玩了，难一都过不了，还是其他三个职业简单点,0,2023-09-10 19:28:38
宅系生物fly,不知道大家第一次碎心是什么难度来的啊，我三个职业各通了一到两次进阶一之后拿战士和鸡煲看了两次出塔动画，不懂这就算大家说的碎心了，还是说要进阶20通关才算？,0,2023-09-01 20:04:28
奇变偶不变乄,"实话实说，递归在我实际游玩体验中存在很多问题，一方面是鸡煲本就缺敲位，即使敲起来了，也存在单卡价值过小的问题，如果没有黑或者等离子和配合甚至连电击都不如。即使有黑或者等离子，在前期过牌少和推球速度慢的时候也很难保证能和等离子黑进行配合。如果有了过牌（精简）和推球，那么在长线战，boss战中的确表现非常不俗，但在一二层连续且高压的短线战中，相比将蓄势待发的黑球推回原点继续养拉长战线，直接双放或多放打一个小爆发实现快速减员，常常是更优的选择。
总而言之，我认为只有对中后期运转良好的黑球中小卡组而言，递归才是确是黑球最好的核心，前期拿了常常是降低战斗力。",0,2023-08-30 14:30:06
kkumokiri,谢谢up的攻略，低进阶都打不过还闷头打了百小时的萌新看了攻略后，昨天成功摸了一把鸡煲碎心，感觉我的游戏理解总算是提升了一点[笑哭],0,2023-08-29 14:35:54
鎏年虚度,能问一下为啥堆栈的评价那么低吗？鸡煲的卡组很难精简，堆栈经常能一卡十几甲，虽然洗牌后直接上手就是张伤口，但是这个风险比起收益真的能忽略吧,0,2023-07-03 04:12:05
