user,content,like,time
放入额,别人的爽局能和我鸡煲爽一样长的时间吗,1047,2024-05-11 13:10:51
飒飒飒飒大,说实话鸡煲的爽种才是最爽的，一把爽种爽的时间是别人的三四倍啊,1141,2024-05-11 13:41:47
e_e空,笑了，这鸡煲爽一局都给我打把文明六的了,336,2024-05-11 13:46:02
绅士羊驼先生,7小说鸡煲一次没赢玩的我乡思[笑哭],70,2024-05-13 22:28:56
没漫九黎,鸡煲可以爽6个半小时哎[doge],74,2024-05-11 13:17:07
三角裤头我不穿,又黑我鸡煲！！！我鸡煲什么时候才能站起来啊？？！！[妙啊][妙啊][妙啊],1,2024-05-23 09:45:37
战地记者喵梦亲,[doge]你这有点尬黑了常态nosl鸡煲也才2-5小时啊，你说的。哦哦哦，你是指极限享受时长6个半吗，那确实独一档哦,6,2024-05-17 00:50:52
kkz113,刚好打完鸡煲回来，二十四分钟太爽了,5,2024-05-11 22:59:03
小灰狐狸吃红鲤,鸡煲能看到心脏这没道理的,1,2024-05-11 19:52:47
沙福林打入,手机端的，鸡煲是刚下好打的前几把的一个干手冰蛋+鼠鼠在商店狂买能力卡的爽种，种子忘了,2,2024-05-18 21:00:36
希腊神话男性都有谁,没想到有不少人误以为视频里鸡煲只用了6分钟，建议仔细看看位数[doge],3,2024-10-23 16:07:14
憨憨17号,35小时萌新，战士29分钟，猎人24，鸡煲19，观者21。鸡煲那把开局变2出电动力学偏差认知平推了，观者感觉打红蓝时间就很长，21还是用数值打的。最近观者玩多了，啥牌都不想抓了,0,2024-07-30 20:10:01
djddbdjs,11min，但是囤积癖心灵震慑和鸡煲没一点关系,1,2024-06-20 14:37:03
玉座333,不愧是鸡煲，六分钟就速通了,3,2024-05-17 12:02:22
莉莉丝嘿嘿,鸡煲爽局一把能爽一个小时，观者只能爽十几分钟，高下立判了这下😋,4,2024-05-13 18:19:31
sky_team超级吕布,我们鸡煲一个爽种能爽6小时，其他角色能吗[doge],3,2024-05-12 14:47:42
得鹿梦鱼乀,爪击流鸡煲爽，一堆0费配合万物一心费用什么的都不需要了,2,2024-10-29 07:58:09
物华感伤,我鸡煲14分钟速通过，问就是四选超能报送一层，蛇眼陨石保送二层，再来灵体保送三层[doge],2,2024-05-18 03:54:22
