user,content,like,time
对兔娘犯过错,刚开始还以为是对着鸡煲打了3200把,405,2025-01-05 11:14:33
真我哈咖,"鸡煲悲恸最不能贪的就是精英了，
鸡煲一层的看牌量直接决定二层的强度
决定了早一点还是晚一点去见涅奥[doge]",237,2025-01-05 12:13:18
贼子狼心,鸡煲污染我英雄池了[呲牙][呲牙][呲牙],190,2025-01-06 00:21:55
神秘坤男子,你怎么知道我鸡煲嫖boss了,149,2025-01-05 13:30:13
史塔西-柏林以东,up是开玩笑，我是真鸡煲玩家[笑哭]我四个进阶5，7，20，5，就喜欢玩鸡煲[笑哭][笑哭],18,2025-01-24 04:13:34
西粉qwer,光鸡煲就玩了3200小时，厉害。[星星眼],15,2025-01-05 11:57:48
Calliso,昨天坐车回家，想展现我高超的鸡煲技术，结果开了三把全死了[doge],10,2025-01-05 14:33:19
上山的道士,鸡煲启动后最强，无上限，当然，启动后[脱单doge],10,2025-01-24 11:12:06
悄悄地升级,我观者也是一把没碰，但我从鸡煲转猎人了。猎人转起来是真的爽，虽然伤害不高，但是疯狂换牌能量都用不完的感觉是真棒[星星眼],1,2025-03-08 00:28:27
创殇之忆,这不就是我嘛，我鸡煲都a14了，结果观者才a2[惊讶],1,2025-02-14 20:04:07
把大壮给我,玩了100h，95局鸡煲，其它角色加起来都没有鸡煲玩的多,1,2025-02-12 11:15:39
真不是船长,这么老的梗都能拿出来做鸡煲视频，这就是鸡煲的启动速度啊我看,2,2025-02-04 13:22:57
心生闸念,今天鸡煲11层瓶装神话，然后带射线打一层BOSS[打call]我只能说鸡煲太强了,1,2025-01-29 19:08:03
1个饭桶,答案是3200局鸡煲3199局都在重开（雾）,1,2025-01-29 19:03:23
一切都是蛋包饭的错,"鸡煲真的不弱啊
鸡煲真的不弱啊",1,2025-01-22 00:52:40
胡思乱想的励志咸鱼,新手上来玩不明白鸡煲，但是偏偏上来鸡煲最容易赢，甚至不怎么需要会玩，本来单卡强度就没有很多很强的，新来不会sl，大卡组更容易赢，随便抓牌一直开点能力牌，比其他容易赢多了。直到先学了流派，发现战士好玩简单，不是力量战就是防御战，猎人不是毒就是刀，机器人还是拿着能力牌一路乱丢。后来更清楚了四个职业的特点，战士学会了烧，猎人学会了转，观者不用学知道了红蓝猛虎一路干，机器人也终于学会了怎么拼命sl容易惨死在小红脚下[笑哭],1,2025-01-27 20:16:40
怎么取名才不重名啊,鸡煲打赢了解锁观者，然后玩两把观者就不想玩了[笑哭]还是喜欢玩前三个角色，观者数值高反而我不太爱玩，还有，我们鸡煲玩家的游戏理解[妙啊]七血鸡煲过小红[妙啊],5,2025-01-18 09:57:16
主角先生-,我决定把鸡煲打到a20了，问就是因为你导致的[doge],4,2025-01-09 20:47:25
鲁智深葬花魂,开头就绷不住。我鸡煲战士都p10+了 观者才p1。根本玩不来， 其他的好歹能到10+[喜极而泣][喜极而泣][喜极而泣],2,2025-01-15 21:19:35
rpgzhong,玩了5天了 观者10层了 猎人6层了 战士7层了 鸡宝一层都还没解锁 看攻略说打心脏还得鸡煲通关一次 这可咋整啊！,11,2025-01-08 00:45:33
特大风尘魔法,鸡煲玩太多了导致的，哪年的梗了现在才启动完[doge],3,2025-01-07 09:53:03
无法升起的太阳,"鸡煲挺有趣的
鸡煲挺有趣的",5,2025-01-06 13:25:37
一条大鱼非常咸,胡说，我鸡煲天下无敌[tv_流泪],1,2025-02-02 03:16:27
芦荟UwU,爱玩鸡煲的小朋友你们好啊,29,2025-01-06 17:53:00
