user,content,like,time
泠泠妖、,"鸡煲日记：
爬塔二层偶遇狗男女，意图全打强如怪物，拼尽全力无法战胜
爬塔三层偶遇大头，启动跟不上强如怪物，拼尽全力无法战胜
爬塔三层偶遇蛇女，一直招小刀强如怪物，拼尽全力无法战胜
爬塔对战觉醒者偶遇kakaa，无限成长强如怪物，拼尽全力无法战胜",524,2024-03-28 14:06:47
聚散华Melantha,这就是我们鸡煲的可能性啊，你们其他职业有没有这样的可能性？真是随随又机机,353,2024-03-28 12:04:29
地球OL国服官方账号,"观者和机器人一起去爬塔，30分钟后观者碎完心回来，捏奥问鸡煲呢，观者说我去看看
30分钟后观者碎完心回来说鸡煲在打大头
30分钟后观者碎完心回来说鸡煲在打蛇女
30分钟后观者碎完心回来说鸡煲在打蛇女
30分钟后观者碎完心回来说鸡煲在打觉醒者
30分钟后观者碎完心回来说鸡煲在打矛盾
30分钟后观者碎完心回来说鸡煲在打心脏
30分钟后观者碎完心回来说鸡煲在打心脏
30分钟后观者碎完心回来说鸡煲在打心脏
观者睡一觉起来又碎一次心回来说鸡煲在打心脏",472,2024-03-29 13:26:17
nothing-to-say,"鸡煲形势不妙
鸡煲进退维谷
鸡煲垂死挣扎
鸡煲败局已定
鸡煲发表获胜感言！",154,2024-03-28 15:49:12
TYJTAN,"昨天10点开始看的直播，进来就是凹蛇女，凹了好久，然后凹老头，凹觉醒者（交了易伤药），凹矛盾（交无色药水），应该是12点钟进心脏，看了一个小时都没希望，然后挂着直播睡着了，过了一个小时，2点的时候醒来发现出AI了，真的是随随又机机。但是还是打不过，3点左右发现回响。
不太准确，大概是11静电，12你好，14扩容，15雷暴， 17缓冲，21是AI。
然后评论区有大佬教教随机数吗，我目前只知道双放会让随机数+1，结束回合也会让随机数+1，还有别的什么操作能让随机数增加吗？有视频分享也行。因为一般也不需要凹这个随机数，最多凹凹能力药。最近在练鸡煲a20连胜，12连中，随机数真的不懂控制，一般人会放弃(",75,2024-03-28 20:11:56
慕木s,半小时就进三层，然后sl六小时这就是我们鸡煲的实力,18,2024-03-28 12:31:38
梦里走了千百步,我最喜欢玩鸡煲了，就是喜欢解决困难、没有困难创造困难也要上的感觉,14,2024-03-29 23:22:48
TimeRain_TR,常看常新，在高考冲刺的时候顶着复习压力看完这一场鸡煲，艰难突破心脏的时候感觉整个人都爽了。,13,2024-11-25 00:01:21
医生也患者,我宣布3月28日为鸡煲胜利日,31,2024-03-28 14:16:28
榛紫,这就是我们的鸡煲啊，打的大豹都磨灭了[星星眼],28,2024-03-28 12:22:10
SearchLight探照灯,这就是杀戮尖塔第四强大以及我第四喜欢的鸡煲吗，随意调整世界线解决其他角色遇不到的困难的能力太酷辣！（不过说实话调白噪声确实折磨）,9,2024-03-29 12:38:42
一口一个可爱do,这就是尖塔前四强的鸡煲吗？随意调整世界线的能力太强惹！[吃瓜],9,2024-03-28 19:48:58
混元不朽不灭大罗键仙,我们鸡煲玩家是这样的，萌新入坑到现在玩最多就是鸡煲，其他三个角色进阶1、2鸡煲进阶15，几乎有时间就玩鸡煲，真的又爱又恨,6,2024-03-28 22:45:35
佚名wgfqbbudww,心脏sl了快两个小时，这就是鸡煲啊，其他职业有这么多的世界线吗？,6,2024-03-28 12:25:27
晨fz_aa,鸡煲爬两次塔够观者一路通到a20了,5,2025-02-02 15:28:47
翊羧,六小时鸡煲@二次元宇航员,4,2025-02-04 01:22:30
大明湖底萝卜坑,昨天的逆天鸡煲毒种[doge] 这突破天际的时长说明了一切[吃瓜],4,2024-03-28 12:18:56
动力消失了,6个半小时绝对不是鸡煲的上限👿,3,2024-04-16 01:43:28
ACAねの糖,这就是鸡煲的随机数阿，尖塔其他职业有这样的sl吗[星星眼],2,2024-03-28 12:38:11
星野梦美い,看到海豹儿这边评论区也都在嘲笑鸡煲我就放心了[傲娇],3,2024-04-01 23:42:10
MO_GOD,虽然鸡煲公认最弱的，但是他是我第一个进阶18碎心的[笑哭],1,2024-04-21 13:02:02
变色龙_卡米洛斯,这不正说明了鸡煲的强度吗？拥有着无限的可能性，绝境中仍存胜机😤,1,2024-03-29 01:00:19
看官而已,仅次于光头那把两天半的鸡煲了[吃瓜],1,2024-03-28 19:31:50
哈基米米子,永远别放弃！鸡煲还没完呢[樱花未来_赞],1,2024-03-28 15:22:59
书慌啊,这时长过了，也就鸡煲可以做到了,1,2024-03-28 12:36:53
きゅずソフト,这就是鸡煲_(≧∇≦」∠)_,48,2024-03-28 14:04:09
