user,content,like,time
AsuKa_MiNaTO,除开小红，乐嘉和三柱，其他的怪都是什么啊？我玩鸡煲没见过啊,786,2024-09-19 23:42:28
修猫说得对,你问心脏哪个打你最吃力，心脏会说可能是猎人，但你又问鸡煲呢，心脏会说鸡煲是谁[思考],163,2024-09-22 18:59:25
度道,说实话鸡煲在一层的强度应该仅次于观者吧，我尖塔300个小时了，猎人一层是真的弱，在一层暴毙的次数远高于鸡煲,47,2024-09-25 15:43:07
胡思乱想的励志咸鱼,鸡煲尝在二层暴毙，一层其实随便抓都可以过一层，就是二层无论怎么发育都得趴着走，除非真天胡。猎人一层就得趴着走，二层走下去了就好办了，鸡煲二层躲过去了往往三层还是犯了难，观者没啥好说，大部分情况杀到底就完了，战士的话挺均衡的，三层强度对于战士都大差不差,10,2024-11-27 15:18:54
EF尘硝,@絵夢アリス @速溶蓝山 鸡煲是最强的,1,2024-09-20 12:23:26
我擦嘞纯酱油,不科学，鸡煲应该是被暴揍的一方[笑哭],5,2024-09-20 21:40:00
Winters_Stone1,鸡煲必看[打call],1,2024-09-20 10:47:25
是鱼見呐,不许你侮辱鸡煲[生气][生气][生气],0,2025-03-18 02:33:22
林深见祿,鸡煲到底怎么你们了[生气_金箍][生气_金箍][生气_金箍],0,2024-09-24 12:43:41
大雪畜王,@大雪雪王  我想吃榴莲鸡煲了,0,2024-09-23 16:58:03
贪玩的幽默再生侠,鸡煲啊，爹来杀你了,1,2024-09-21 01:08:51
